Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.33174,0.0,71.6042,0.0,22.0776,0.0,-0.926,1.0,64.774,1.0,265.271,0,0.723,1.0,98.674,0.0,,,1.836,0,2.386,1.0,,,0.0914087206451613,0.254531231830807,-0.777,0.029,59.993,265.271,0.852,98.674,1.836,1.614,
2,200202,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.29925,0.0,70.9627,0.0,21.4329,0.0,-1.486,1.0,100.266,1.0,255.151,0,0.916,1.0,98.869,0.0,,,2.314,0,2.335,1.0,,,0.679976793225806,0.465656649297973,-1.415,-0.157,101.036,255.151,0.889,98.869,2.314,1.702,
3,200203,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.30985,0.0,78.3116,0.0,23.7413,0.0,0.573,1.0,146.708,1.0,266.256,0,1.509,1.0,99.107,0.0,,,2.274,0,2.289,1.0,,,0.272251682,0.316415383576664,0.48,1.865,149.091,266.256,1.449,99.107,2.274,1.627,
4,200204,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.31409,0.0,84.8599,0.0,25.8468,0.0,7.419,1.0,173.157,0.991667,299.877,0,2.929,1.0,99.118,0.0,,,4.296,0,1.822,1.0,,,0.10446064316129,0.276657380305112,7.376,8.476,197.036,299.877,2.281,99.118,4.296,1.415,
5,200205,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-3.83233,0.0,100.784,0.0,21.6647,0.0,10.835,1.0,235.966,1.0,308.592,0,4.437,1.0,98.999,0.0,,,3.971,0,2.058,1.0,,,0.160132616464286,0.22971370057087,10.918,12.131,244.513,308.592,3.495,98.999,3.971,1.426,
6,200206,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.45325,0.0,162.05,0.0,30.4565,0.0,19.227,1.0,280.602,1.0,359.76,0,6.772,1.0,98.91,0.0,,,2.599,0,1.601,1.0,,,0.371650579032258,0.214928138014452,19.364,20.604,261.031,359.76,6.186,98.91,2.599,1.05,
7,200207,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-5.01872,0.268145,169.126,0.271505,23.1593,0.272177,22.67,1.0,302.281,1.0,367.179,0,8.679,1.0,99.014,0.168683,,,1.993,0,1.429,1.0,,,0.890791213666667,0.262816582371053,22.854,24.146,291.732,367.179,9.098,99.009,1.993,1.013,
8,200208,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-4.77789,0.594086,128.45,0.58871,19.8735,0.591398,21.081,1.0,264.835,1.0,360.376,0,6.203,1.0,99.245,0.461694,,,1.893,0,1.323,1.0,364.936,0.59207,0.959114756451613,0.320081811128666,20.903,22.135,231.993,360.376,6.466,99.231,1.893,1.03,
9,200209,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-5.06916,0.219444,94.7084,0.308333,11.113,0.308333,18.532,1.0,210.966,1.0,345.742,0,5.225,1.0,99.102,0.179861,,,2.288,0,1.282,1.0,366.585,0.308333,1.90939313,0.494702286783284,18.436,19.736,181.585,345.742,5.288,99.096,2.288,1.086,
10,200210,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,-0.448524,0.608199,41.5313,0.670699,1.21325,0.671371,8.546,1.0,111.853,1.0,303.842,0,1.992,1.0,99.227,0.493952,,,1.656,0,1.476,1.0,371.32,0.671371,1.87706683225806,0.469241348803385,8.789,9.657,109.74,303.842,2.404,99.211,1.656,1.226,
11,200211,CA-TP2,42.77441944,-80.458775,ENF,Continental,,,0.660705,0.0604167,33.2363,0.150694,-14.1214,0.155556,3.473,1.0,58.22,1.0,286.83,0,1.525,1.0,98.663,0.0104167,,,2.909,0,2.09,1.0,379.971,0.155556,1.67727920645161,0.492049069419593,3.101,3.661,59.064,286.83,1.323,98.663,2.909,1.592,
