Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,CH-Fru,47.11583,8.53778,GRA,Arctic,6.70427,4.96277,-4.28448,0.0,107.444,0.0,31.9651,0.0,-1.899,0.0,59.166,0.0,261.774,0.0,1.171,0.0,85.736,0,,,1.488,0.0,1.404,0.0,,,0.631038946774194,0.177740307438076,-1.899,-0.337,59.166,261.774,1.171,85.736,1.488,1.404,2.41979
2,200502,CH-Fru,47.11583,8.53778,GRA,Arctic,6.30935,6.48503,-4.25913,0.0,121.565,0.0,36.0291,0.0,-2.984,0.0,89.66,0.0,268.738,0.0,0.868,0.0,85.045,0,,,2.036,0.0,1.627,0.0,,,1.94886834193548,0.49470836084089,-2.984,-1.781,89.66,268.738,0.868,85.045,2.036,1.627,2.0502200000000004
3,200503,CH-Fru,47.11583,8.53778,GRA,Arctic,8.19671,8.7654,-4.28671,0.0,136.463,0.0,40.6191,0.0,2.856,0.0,149.79,0.0,277.249,0.0,1.639,0.0,85.315,0,,,1.512,0.0,1.274,0.0,,,1.56419131666667,0.376081549373901,2.856,4.323,149.79,277.249,1.639,85.315,1.512,1.274,3.9099999999999993
4,200504,CH-Fru,47.11583,8.53778,GRA,Arctic,9.36004,9.58004,-4.27736,0.0,128.501,0.0,38.1915,0.0,6.562,0.0,172.273,0.0,301.925,0.0,2.203,0.0,85.263,0,,,3.233,0.0,1.637,0.0,,,1.61490860645161,0.102781636801633,6.562,7.745,172.273,301.925,2.203,85.263,3.233,1.637,5.08268
5,200505,CH-Fru,47.11583,8.53778,GRA,Arctic,11.372,11.3882,-4.28448,0.0,124.881,0.0,37.1526,0.0,11.114,0.0,226.442,0.0,308.365,0.0,3.225,0.0,85.685,0,,,3.887,0.0,1.466,0.0,,,0.645557493571429,0.0478269778455682,11.114,12.221,226.442,308.365,3.225,85.685,3.887,1.466,7.08752
6,200506,CH-Fru,47.11583,8.53778,GRA,Arctic,13.3726,12.3068,-4.27736,0.0,116.759,0.0,34.7015,0.0,15.234,0.0,252.326,0.0,320.182,0.0,4.539,0.0,85.96,0,,,3.182,0.0,1.399,0.0,,,0.540760343548387,0.120472808529674,15.234,16.27,252.326,320.182,4.539,85.96,3.182,1.399,9.09524
7,200507,CH-Fru,47.11583,8.53778,GRA,Arctic,13.6367,11.7448,-4.26089,0.0,112.888,0.0,33.4665,0.0,15.884,0.179435,222.999,0.0,340.9,0.0,4.053,0.179435,85.801,0,,,4.866,0.077957,1.654,0.0,,,1.82102931666667,0.39443951296445,15.789,16.839,222.999,340.9,3.478,85.801,4.712,1.654,9.37581
8,200508,CH-Fru,47.11583,8.53778,GRA,Arctic,10.3169,10.2228,-3.01483,0.492608,86.8299,0.692204,24.1205,0.879704,13.164,1.0,185.938,0.0,335.952,0.0,2.581,1.0,85.796,0,0.162107937839,0.780241935484,11.974,1.0,1.396,0.881048,368.742,0.889785,2.91499370967742,0.573173085043938,14.194,15.224,185.938,335.952,2.812,85.796,5.671,1.455,7.3020700000000005
9,200509,CH-Fru,47.11583,8.53778,GRA,Arctic,7.69883,8.63267,-0.817606,0.925694,61.73,0.972917,12.985,0.997917,12.672,0.879167,142.187,0.725694,334.919,0.724306,2.227,0.879167,85.891,0,0.167619693227,0.899305555556,3.428,0.870833,1.583,1.0,365.226,1.0,3.70517521666667,0.609082968232914,13.139,14.214,140.742,336.272,2.376,85.891,3.162,1.288,6.881224
10,200510,CH-Fru,47.11583,8.53778,GRA,Arctic,5.55308,5.22989,-1.16235,0.975806,34.0314,0.976478,9.4466,0.998656,9.6,1.0,114.28,1.0,301.683,1.0,2.657,1.0,85.953,0,0.121208493471,0.867607526882,2.181,1.0,1.126,1.0,381.745,1.0,4.20312132903226,0.651964132405448,9.634,11.23,102.92,308.97,2.127,85.953,2.252,1.396,4.39073
11,200511,CH-Fru,47.11583,8.53778,GRA,Arctic,1.77684,1.82677,0.0270881,0.970833,12.4585,0.979167,0.477992,0.988889,2.258,1.0,62.701,1.0,279.374,1.0,1.563,1.0,85.436,0,0.133149008909,0.603472222222,1.34,1.0,1.324,0.727778,360.931,0.988889,3.31213973870968,0.602788823604456,2.876,4.112,63.394,286.663,1.221,85.436,1.401,1.344,1.8039281
12,200512,CH-Fru,47.11583,8.53778,GRA,Arctic,0.156788,0.246068,1.28518,0.995968,2.21174,0.998656,-8.66021,1.0,-3.293,1.0,37.647,1.0,275.52,1.0,0.521,1.0,85.206,0,0.150262359629,0.789650537634,1.852,0.998656,1.601,0.993952,407.654,1.0,2.12576784666667,0.591724280381378,-2.381,-1.429,44.621,265.789,0.832,85.206,2.483,1.2,1.441968
13,200601,CH-Fru,47.11583,8.53778,GRA,Arctic,-0.112834,0.118844,1.2941,0.971102,6.00582,0.99328,-4.05397,0.989919,-2.527,1.0,69.626,1.0,245.021,1.0,1.495,1.0,85.67,0,0.143159816042,0.838709677419,0.732,1.0,1.708,0.998656,386.79,1.0,0.100000000967742,0.0518660973982472,-2.191,-0.745,62.512,257.445,0.998,85.67,0.847,1.422,1.181266
14,200602,CH-Fru,47.11583,8.53778,GRA,Arctic,-0.125029,0.00931051,0.673284,0.934524,7.9346,0.982887,-10.3785,0.997024,-2.327,1.0,71.927,0.993304,269.406,1.0,0.931,1.0,84.913,0,0.15507048334,0.853422619048,1.007,1.0,1.934,1.0,384.825,1.0,2.51407254516129,0.509085372424603,-0.681,0.701,86.522,276.898,1.034,84.913,1.989,1.294,0.5482549999999999
15,200603,CH-Fru,47.11583,8.53778,GRA,Arctic,0.884601,0.194627,0.927256,0.895833,15.452,0.9375,-12.6904,0.96707,0.167,1.0,123.911,0.981183,280.824,1.0,1.412,1.0,84.793,0,0.216316141429,0.677419354839,3.729,1.0,2.128,0.816532,382.88,0.955645,1.73307608,0.41978129179237,1.224,2.45,134.469,283.013,1.265,84.793,4.408,1.566,1.8118569999999998
16,200604,CH-Fru,47.11583,8.53778,GRA,Arctic,3.08049,3.87657,-0.562093,0.996528,51.0863,0.996528,15.9045,1.0,5.715,1.0,158.131,0.997917,303.636,1.0,2.049,1.0,85.286,0,0.161432797231,0.873611111111,5.01,1.0,1.723,1.0,378.793,1.0,0.61444236516129,0.172197697200507,5.846,6.97,182.022,292.478,1.835,85.286,2.875,1.287,2.518397
17,200605,CH-Fru,47.11583,8.53778,GRA,Arctic,9.57366,9.96319,-3.20424,0.993952,82.3811,0.997312,13.0176,0.999328,10.358,1.0,178.28,1.0,324.105,1.0,3.18,1.0,85.675,0,0.209768726849,0.902553763441,6.505,0.999328,1.704,0.998656,380.338,1.0,0.1,0.0341198445261716,10.64,11.594,205.214,314.268,2.713,85.675,3.641,1.552,6.36942
18,200606,CH-Fru,47.11583,8.53778,GRA,Arctic,10.9638,10.2567,-2.46429,0.995833,111.549,1.0,28.0982,1.0,14.868,1.0,265.927,1.0,327.779,1.0,5.306,1.0,86.058,0,0.172613592023,0.806944444444,2.703,0.998611,1.524,0.918056,358.913,1.0,0.398856129677419,0.103116186825995,14.978,16.175,270.204,314.315,4.371,86.058,2.906,1.407,8.49951
19,200607,CH-Fru,47.11583,8.53778,GRA,Arctic,10.1786,10.6858,-1.86287,0.99328,126.648,1.0,28.5534,1.0,19.455,1.0,287.722,1.0,345.693,1.0,7.481,1.0,86.167,0,0.160456533929,0.864919354839,1.855,1.0,1.444,1.0,353.96,1.0,1.334756414,0.362636562549961,19.208,20.333,259.922,336.371,5.454,86.167,4.049,1.094,8.315729999999999
20,200608,CH-Fru,47.11583,8.53778,GRA,Arctic,8.67311,8.1563,-1.30671,0.999328,73.55,1.0,11.633,1.0,11.808,1.0,147.902,1.0,340.514,1.0,2.284,1.0,85.46,0,0.191494912204,0.903225806452,9.032,1.0,1.592,0.997984,366.779,1.0,1.69940247096774,0.636606945762629,12.46,13.496,172.935,332.169,2.005,85.46,6.343,1.683,7.3664
21,200609,CH-Fru,47.11583,8.53778,GRA,Arctic,7.85509,8.6838,0.170029,0.497222,105.457,0.5,-21.4297,0.5,15.028,0.499306,154.659,0.500694,339.441,0.499306,3.708,0.499306,85.815,0,,,7.256,0.999306,1.651,0.488194,345.784,0.5,3.09746540666667,0.645948767946567,14.855,16.114,149.423,336.408,3.222,85.815,4.198,1.477,8.025119
22,200610,CH-Fru,47.11583,8.53778,GRA,Arctic,6.77188,8.39192,0.1668,0.0,129.538,0.0,-55.2572,0.0,10.748,0.0,104.477,0.0,317.096,0.0,2.162,0.0,85.701,0,,,2.465,1.0,1.599,0.0,340.644,0.0,2.80045648709677,0.63812475436723,10.748,12.142,104.477,317.096,2.162,85.701,1.67,1.599,6.938680000000001
