Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,CN-Cng,44.5934,123.5092,GRA,Continental,-0.122628,0.375492,0.242544,0.0,15.6094,0.0,33.8464,0.0,-11.314,0.0,81.611,0.637769,205.526,0.0,0.757,0.0,100.187,0.0,,,0.061,0.0,2.534,0.0,,,0.18525359483871,0.118111947823822,-11.314,-9.63,81.736,205.526,0.757,100.187,0.061,2.534,0.11991600000000001
2,200702,CN-Cng,44.5934,123.5092,GRA,Continental,-0.00654254,0.466652,0.242674,0.0,17.021,0.0,35.8778,0.0,-4.391,0.0,130.636,0.59747,220.013,0.0,2.416,0.0,99.565,0.0,,,0.074,0.0,3.733,0.0,,,0.196304091290323,0.130252462822506,-4.391,-2.629,131.009,220.013,2.416,99.565,0.074,3.733,0.23613146
3,200703,CN-Cng,44.5934,123.5092,GRA,Continental,-0.0109888,0.5423,0.294766,0.0,18.5524,0.0,36.5268,0.0,-1.984,0.0,177.931,0.531586,236.423,0.0,3.075,0.0,99.466,0.0,,,0.448,0.0,4.027,0.0,,,0.128593064,0.096671600047206,-1.984,-0.126,178.121,236.423,3.075,99.466,0.448,4.027,0.28377719999999995
4,200704,CN-Cng,44.5934,123.5092,GRA,Continental,0.212885,0.62068,0.279579,0.0,20.5539,0.0,42.4554,0.0,7.239,0.0,228.379,0.466667,268.894,0.0,7.063,0.0,99.102,0.0,,,0.218,0.0,3.622,0.0,,,0.102252782516129,0.0914338036099246,7.239,9.435,228.569,268.894,7.063,99.102,0.218,3.622,0.492464
5,200705,CN-Cng,44.5934,123.5092,GRA,Continental,0.673913,0.89327,0.206343,0.395833,29.3638,0.401882,53.117,0.40121,16.915,0.401882,243.128,0.607527,326.371,0.401882,11.767,0.401882,98.342,0.322581,,,0.445,0.0,4.069,0.322581,,,0.182120451071429,0.117819795969116,16.472,18.22,239.312,321.646,11.709,98.394,0.445,4.013,0.8802559999999999
6,200706,CN-Cng,44.5934,123.5092,GRA,Continental,2.08108,2.35061,-0.349508,0.950694,52.6936,1.0,52.1224,1.0,24.089,1.0,266.557,1.0,371.473,1.0,18.387,1.0,98.358,0.999306,0.285356348404,0.997916666667,0.16,0.000694444,3.988,0.996528,338.72,1.0,0.200000001290323,0.119706416072489,25.064,26.56,269.766,370.523,20.956,98.467,0.16,4.07,1.7315720000000001
7,200707,CN-Cng,44.5934,123.5092,GRA,Continental,4.15963,4.83803,-1.20694,0.977151,80.7901,1.0,39.7226,1.0,23.951,1.0,238.376,1.0,387.104,1.0,11.43,1.0,98.124,0.999328,0.235675199611,0.997983870968,3.432,1.0,2.984,1.0,358.458,1.0,0.2,0.121712699240299,23.246,24.452,229.169,385.112,10.543,98.303,3.513,2.705,2.95269
8,200708,CN-Cng,44.5934,123.5092,GRA,Continental,4.76392,6.05534,-1.87331,0.957661,83.7493,1.0,29.6849,1.0,22.818,1.0,220.176,1.0,377.376,1.0,10.021,1.0,98.486,1.0,0.228464611359,0.997311827957,1.035,1.0,2.904,1.0,367.317,1.0,0.204901921290323,0.150373716137372,22.762,24.268,208.112,376.858,10.621,98.59,2.13,3.105,2.8906099999999997
9,200709,CN-Cng,44.5934,123.5092,GRA,Continental,2.19982,2.12598,0.0640357,0.872222,40.4209,0.945139,35.2586,0.945833,17.418,1.0,182.729,1.0,330.46,0.945833,9.887,1.0,99.204,1.0,0.217485164468,0.65,0.653,1.0,2.697,0.875694,363.584,0.945833,0.43810216,0.195528599806526,17.773,19.725,170.389,337.42,10.027,99.215,0.499,2.753,2.2638556999999997
10,200710,CN-Cng,44.5934,123.5092,GRA,Continental,0.251037,0.494635,0.307589,0.989247,11.0495,1.0,22.6979,1.0,7.549,1.0,141.502,1.0,269.571,1.0,6.387,1.0,99.663,1.0,0.254410437244,0.997311827957,0.297,1.0,3.733,0.999328,360.772,1.0,0.99847423483871,0.305021673552247,8.005,9.974,136.446,272.892,6.477,99.595,0.213,3.581,0.5586260000000001
11,200711,CN-Cng,44.5934,123.5092,GRA,Continental,0.137269,0.199344,0.0876006,0.990278,4.08272,1.0,10.803,1.0,-3.929,1.0,97.488,0.998611,225.271,1.0,2.58,1.0,100.009,1.0,0.232325130014,0.995833333333,0.0,1.0,3.879,0.997917,337.884,1.0,1.18733002580645,0.321750102171558,-3.45,-1.817,90.975,225.897,2.503,99.899,0.098,3.729,0.2248696
12,200712,CN-Cng,44.5934,123.5092,GRA,Continental,0.17176,0.251387,0.0720523,0.947581,2.47893,1.0,5.91879,1.0,-11.212,1.0,68.552,1.0,204.019,1.0,0.967,1.0,99.882,0.999328,0.154747627468,0.885752688172,0.0,0.999328,2.867,0.999328,331.165,1.0,0.437286617666667,0.206987086939223,-10.625,-9.082,66.345,211.578,0.795,99.83,0.129,2.756,0.24381229999999998
13,200801,CN-Cng,44.5934,123.5092,GRA,Continental,0.258627,0.481922,-0.0107575,0.964382,3.91667,1.0,11.7923,1.0,-15.469,1.0,94.633,1.0,174.344,1.0,1.005,1.0,100.552,1.0,0.172783943574,0.984543010753,0.0,1.0,3.087,1.0,330.035,1.0,0.100000000064516,0.09383707854408,-16.846,-15.593,93.022,180.206,0.436,100.403,0.0,3.082,0.2478695
14,200802,CN-Cng,44.5934,123.5092,GRA,Continental,0.404445,0.567261,-0.0980483,0.983477,3.23693,1.0,27.8422,1.0,-9.714,1.0,136.448,1.0,197.597,1.0,2.091,1.0,100.099,1.0,0.219593162907,0.997844827586,0.0,1.0,3.693,1.0,321.601,1.0,0.246630058387097,0.16179405783578,-9.627,-7.643,135.133,197.354,1.628,99.989,0.0,3.267,0.30639669999999997
15,200803,CN-Cng,44.5934,123.5092,GRA,Continental,0.39645,0.466343,-0.188342,0.979839,12.8622,1.0,30.3991,1.0,2.364,1.0,159.069,1.0,261.298,1.0,4.434,1.0,99.308,1.0,0.254949144075,0.997311827957,0.368,1.0,4.495,1.0,319.129,1.0,0.185597287,0.13394765730881,2.239,4.336,169.755,255.548,4.1,99.329,0.516,3.848,0.20810800000000002
16,200804,CN-Cng,44.5934,123.5092,GRA,Continental,0.399214,0.337009,-0.0171842,0.976389,24.7882,1.0,31.9527,1.0,11.188,1.0,193.059,1.0,297.662,1.0,8.768,1.0,98.827,1.0,0.309431184545,0.997222222222,0.73,1.0,5.361,0.999306,357.387,1.0,0.191919848666667,0.123148748608907,11.024,12.829,207.05,293.888,8.967,98.899,0.602,4.536,0.38202980000000003
17,200805,CN-Cng,44.5934,123.5092,GRA,Continental,1.26492,1.56027,-0.517732,0.989247,53.4285,1.0,45.5238,1.0,14.814,1.0,232.17,1.0,321.608,1.0,9.491,1.0,98.393,1.0,0.272779648936,0.996639784946,1.323,1.0,4.045,0.998656,345.017,1.0,0.100000000068966,0.102103788162865,14.89,16.613,248.671,316.448,10.048,98.529,1.398,3.507,0.7471880000000001
18,200806,CN-Cng,44.5934,123.5092,GRA,Continental,2.9406,3.30704,-1.28319,0.969444,70.4265,1.0,39.7626,1.0,21.746,1.0,228.672,1.0,372.645,0.997917,11.961,1.0,98.537,1.0,0.21685482565,0.997222222222,1.383,1.0,3.108,0.999306,343.37,1.0,0.200000001290323,0.107090585686612,21.126,22.526,222.365,371.266,11.177,98.661,2.248,2.878,1.6574099999999998
19,200807,CN-Cng,44.5934,123.5092,GRA,Continental,7.59795,8.91765,-3.78089,0.995968,106.428,1.0,15.407,1.0,23.947,1.0,214.703,1.0,399.804,1.0,7.419,1.0,98.219,1.0,0.228504528557,0.997311827957,5.055,1.0,2.927,1.0,392.952,1.0,0.2,0.113539062595993,23.301,24.417,204.725,399.807,7.66,98.38,3.408,2.993,3.81706
20,200808,CN-Cng,44.5934,123.5092,GRA,Continental,4.55424,5.18066,-1.33937,0.979167,81.7022,1.0,29.1224,1.0,21.878,1.0,205.274,1.0,378.121,1.0,7.857,1.0,98.574,1.0,0.229731658945,0.997983870968,2.374,1.0,2.965,1.0,376.882,1.0,0.245136377741936,0.156645806067984,22.069,23.552,207.778,381.995,8.25,98.666,2.731,2.99,3.2148700000000003
21,200809,CN-Cng,44.5934,123.5092,GRA,Continental,1.92614,1.88904,-0.00320556,0.977083,53.144,1.0,39.0759,0.999306,16.495,1.0,209.474,1.0,319.742,1.0,9.513,1.0,99.034,1.0,0.28032646971,0.997222222222,0.853,1.0,3.65,1.0,366.776,1.0,0.514620439,0.188087873729191,16.939,18.873,194.631,320.621,10.228,99.071,0.383,3.912,1.92293444
