Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,CN-Dan,30.4978,91.0664,GRA,Continental,0.0518531,0.0972392,0.0779159,0.622984,,0.811156,,0.810484,-9.592,1,162.211,0.998656,180.98,1.0,1.909,1,59.747,0,,,0.019,1.0,2.002,0.989919,,,0.112490667096774,0.101667824670907,-9.916,-7.246,168.026,167.686,2.673,59.747,0.245,2.755,0.129769
2,200402,CN-Dan,30.4978,91.0664,GRA,Continental,0.233744,0.333335,0.0041496,0.921695,,0.989943,,0.991379,-6.673,1,217.896,1.0,164.736,1.0,3.038,1,59.838,0,0.173810699072,0.778735632184,0.097,1.0,2.812,0.999282,,,0.333618703548387,0.14323529813813,-6.821,-3.809,212.848,170.549,3.931,59.838,0.129,3.011,0.2378936
3,200403,CN-Dan,30.4978,91.0664,GRA,Continental,0.526674,0.478411,-0.131331,0.946909,,0.969086,,0.965726,0.922,1,249.608,1.0,190.045,1.0,6.094,1,60.123,0,0.224928405012,0.621639784946,0.0,1.0,3.64,0.99328,,,0.200489968666667,0.101436687340708,0.761,3.279,261.934,195.284,6.45,60.123,0.099,3.122,0.395343
4,200404,CN-Dan,30.4978,91.0664,GRA,Continental,0.513944,0.483384,-0.219454,0.774306,,0.770139,,0.774306,2.187,1,251.293,1.0,235.955,1.0,4.416,1,60.161,0,,,0.297,1.0,3.048,0.999306,,,0.214085726333333,0.0683585462675136,1.175,3.063,292.71,228.122,4.161,60.161,1.398,2.167,0.2944899999999999
5,200405,CN-Dan,30.4978,91.0664,GRA,Continental,0.765412,0.616966,-0.329001,0.988575,,0.997984,,0.997984,7.362,1,284.159,1.0,255.447,1.0,6.571,1,60.194,0,0.193239503957,0.993279569892,1.784,1.0,3.508,0.989919,,,0.192178913448276,0.089841732315169,6.36,7.916,278.83,263.438,5.12,60.194,2.137,2.647,0.436411
6,200406,CN-Dan,30.4978,91.0664,GRA,Continental,1.89083,2.58227,-1.13223,0.882639,,0.964583,,0.965972,8.649,1,252.616,1.0,302.829,1.0,3.689,1,60.295,0,,,5.917,1.0,2.536,0.997222,,,0.2,0.089819008297697,9.132,10.164,234.227,300.302,3.376,60.295,3.962,2.274,0.7585999999999999
7,200407,CN-Dan,30.4978,91.0664,GRA,Continental,2.62253,3.06822,-1.47581,0.995296,,0.997984,,0.997984,9.779,1,208.598,1.0,324.173,1.0,3.165,1,60.339,0,0.168853808233,0.989919354839,5.155,1.0,2.431,0.992608,,,0.2,0.0843917822962795,10.433,11.189,170.139,317.341,2.642,60.339,5.436,1.805,1.1467199999999997
8,200408,CN-Dan,30.4978,91.0664,GRA,Continental,2.7638,2.51582,-1.06093,0.997312,,1.0,,1.0,10.574,1,237.867,1.0,307.993,1.0,4.078,1,60.457,0,0.164675923801,0.995295698925,2.926,1.0,2.41,0.997312,,,0.236602857419355,0.0922140709391698,10.785,11.89,199.419,303.043,3.635,60.457,2.513,1.881,1.7028699999999999
9,200409,CN-Dan,30.4978,91.0664,GRA,Continental,1.67588,1.44407,-0.371301,0.993056,,0.999306,,0.999306,8.795,1,246.484,1.0,268.723,1.0,5.279,1,60.631,0,0.151752015944,0.996527777778,0.967,1.0,2.312,0.997917,,,0.350750875666667,0.159421765977002,7.944,9.367,204.751,277.044,3.663,60.631,1.931,2.015,1.304579
10,200410,CN-Dan,30.4978,91.0664,GRA,Continental,0.415088,0.495881,0.103018,0.985887,,0.995968,,0.995968,2.35,1,201.564,1.0,229.362,1.0,3.885,1,60.5,0,0.166358234322,0.987903225806,0.735,1.0,2.557,0.840054,,,0.754884748709677,0.245853604467553,0.751,2.506,195.688,234.179,2.966,60.5,1.101,2.292,0.518106
