Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,CN-Du3,42.0551,116.2809,GRA,Continental,0.978392,1.40152,-0.168637,0.0,83.539,0.0,23.8045,0.0,-16.401,0.0,101.334,0.634409,163.829,0,0.691,0.0,87.167,0.0,,,0.008,0.0,4.617,0.0,,,0.144466290645161,0.0575313160618754,-16.401,-14.187,101.609,163.829,0.691,87.167,0.008,4.617,0.809755
2,200902,CN-Du3,42.0551,116.2809,GRA,Continental,1.33916,1.71089,-0.159394,0.0,95.6648,0.0,27.3127,0.0,-9.345,0.0,141.293,0.589286,185.633,0,2.002,0.0,86.799,0.0,,,0.157,0.0,4.054,0.0,,,0.233072505483871,0.155096935183103,-9.345,-7.015,141.511,185.633,2.002,86.799,0.157,4.054,1.1797659999999999
3,200903,CN-Du3,42.0551,116.2809,GRA,Continental,1.62076,2.05333,-0.177039,0.0,102.904,0.0,29.216,0.0,-4.018,0.0,194.299,0.530914,206.63,0,3.291,0.0,86.804,0.0,,,0.579,0.0,4.564,0.0,,,0.174860333,0.0746168614258357,-4.018,-1.988,194.521,206.63,3.291,86.804,0.579,4.564,1.443721
4,200904,CN-Du3,42.0551,116.2809,GRA,Continental,2.02964,2.03262,-0.168655,0.0,107.969,0.0,30.7461,0.0,4.931,0.0,207.085,0.472222,256.643,0,5.097,0.0,86.834,0.0,,,1.69,0.0,3.988,0.0,,,0.149082975806452,,4.931,7.243,207.289,256.643,5.097,86.834,1.69,3.988,1.8609850000000001
5,200905,CN-Du3,42.0551,116.2809,GRA,Continental,2.33494,1.5876,-0.11981,0.0,102.846,0.0,29.0018,0.0,12.87,0.0,244.914,0.421371,286.734,0,10.116,0.0,86.725,0.0,,,1.117,0.0,4.056,0.0,,,0.199999998214286,0.117028938229302,12.87,14.995,245.113,286.734,10.116,86.725,1.117,4.056,2.21513
6,200906,CN-Du3,42.0551,116.2809,GRA,Continental,2.40223,1.68448,-0.0559478,0.0,103.321,0.0,28.4146,0.0,15.466,0.0,252.117,0.395833,309.523,0,9.828,0.0,86.107,0.0,,,2.394,0.0,4.326,0.0,,,0.2,0.102457510924865,15.466,17.197,252.17,309.523,9.828,86.107,2.394,4.326,2.3462821999999997
7,200907,CN-Du3,42.0551,116.2809,GRA,Continental,2.53033,1.44115,-0.0442298,0.0530914,110.469,0.053091,30.5099,0.053091,19.429,0.0530914,230.07,0.405242,342.72,0,10.923,0.0530914,86.375,0.0,,,2.108,0.0,2.837,0.0,,,0.200000000333333,0.140512017493492,19.372,21.159,230.24,342.72,10.767,86.375,2.108,2.837,2.4861002
8,200908,CN-Du3,42.0551,116.2809,GRA,Continental,1.56713,1.24851,-0.0236695,0.948925,86.7228,0.952285,35.7359,0.952285,17.829,0.952957,248.197,0.956317,331.085,0,10.252,0.952957,86.709,0.920699,0.202437555261,0.920698924731,2.751,0.920699,2.7,0.920699,383.648,0.952957,0.616396719354839,0.270607106891295,18.286,20.387,221.845,331.085,10.014,86.814,1.563,2.792,1.5434605
9,200909,CN-Du3,42.0551,116.2809,GRA,Continental,0.470611,0.663667,-0.149685,0.997222,45.8589,1.0,46.5775,1.0,11.702,1.0,183.404,1.0,299.053,0,7.096,1.0,86.976,1.0,0.230299305556,1.0,1.194,1.0,3.338,1.0,367.449,1.0,0.890119397666667,0.324775974336667,12.844,14.907,184.886,299.053,7.911,87.099,1.15,3.549,0.320926
10,200910,CN-Du3,42.0551,116.2809,GRA,Continental,-0.337729,0.0,0.34,1.0,22.4365,1.0,40.0842,1.0,3.751,1.0,134.801,1.0,246.871,0,4.764,1.0,87.011,1.0,0.264294061237,0.997311827957,0.967,1.0,4.06,1.0,368.312,1.0,1.1201994416129,0.322612125203382,4.072,6.264,144.188,246.871,4.905,87.1,0.861,3.672,0.002271000000000023
11,200911,CN-Du3,42.0551,116.2809,GRA,Continental,0.00494557,0.0140964,-0.0103306,1.0,6.61363,1.0,2.01158,1.0,-9.384,1.0,110.598,1.0,196.273,0,1.663,1.0,87.37,1.0,0.250688194444,1.0,0.0,1.0,4.46,1.0,370.425,1.0,1.31480550967742,0.340312095868295,-9.111,-7.282,95.725,196.273,1.602,87.366,0.504,4.022,-0.005385030000000001
12,200912,CN-Du3,42.0551,116.2809,GRA,Continental,0.121763,0.11164,-0.121312,1.0,4.42736,0.999328,7.76504,0.999328,-15.417,1.0,86.49,0.983199,167.972,0,0.865,1.0,87.102,0.999328,0.281388412263,0.999327956989,0.0,0.999328,4.411,0.999328,343.473,1.0,0.730327104333333,0.270347637673083,-15.973,-14.051,81.825,167.972,0.773,86.983,0.024,4.402,0.0004509999999999931
13,201001,CN-Du3,42.0551,116.2809,GRA,Continental,0.0873181,0.0,-0.0892352,0.997984,5.09214,0.995296,0.908949,1.0,-18.783,1.0,100.98,0.832661,164.569,0,0.67,1.0,87.226,0.999328,0.298331274308,0.998655913978,0.0,0.999328,5.006,0.999328,370.13,1.0,0.107249495935484,0.0375839530587079,-18.644,-16.534,98.286,164.569,0.568,87.042,0.347,4.946,-0.001917100000000005
14,201002,CN-Du3,42.0551,116.2809,GRA,Continental,-0.206867,0.0,0.20233,1.0,8.23413,1.0,31.1783,1.0,-12.826,1.0,142.26,1.0,182.204,0,1.263,1.0,86.918,1.0,0.254190966945,0.998511904762,0.118,1.0,3.977,1.0,372.113,1.0,0.349755478709677,0.178708014158293,-14.02,-11.864,135.217,182.204,1.076,86.897,0.293,4.024,-0.0045369999999999855
15,201003,CN-Du3,42.0551,116.2809,GRA,Continental,-0.0292012,0.0345243,0.0366295,0.999328,20.7467,0.998656,52.0231,1.0,-6.939,1.0,176.441,1.0,203.682,0,2.038,1.0,86.822,1.0,0.311757749943,0.999327956989,0.295,1.0,5.035,1.0,342.716,1.0,0.171276856333333,0.102753779386502,-6.821,-4.895,180.909,203.682,2.384,86.813,0.852,4.632,0.007428300000000002
16,201004,CN-Du3,42.0551,116.2809,GRA,Continental,-0.269369,0.0,0.274919,0.999306,24.5268,1.0,71.2938,1.0,0.138,1.0,205.629,1.0,231.215,0,3.933,1.0,86.703,1.0,0.313495833333,1.0,0.237,1.0,5.189,0.997222,334.259,1.0,0.16125606483871,0.106235226547997,-0.143,1.687,210.369,231.215,3.887,86.724,1.366,4.694,0.005549999999999999
17,201005,CN-Du3,42.0551,116.2809,GRA,Continental,-0.19935,0.0,1.17766,0.360887,92.7725,0.360887,53.3233,0.361559,10.873,0.361559,219.834,0.573925,295.244,0,7.084,0.361559,86.456,0.272177,,,3.496,0.272177,4.384,0.271505,,,0.191085449285714,0.11477697231726,10.546,12.378,224.683,295.244,6.726,86.463,2.166,4.142,0.9783099999999999
