Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,CN-HaM,37.37,101.18,GRA,Continental,-0.147504,0.168678,0.345581,0.681452,5.86749,0.691532,17.8962,0.691532,-15.114,0.691532,136.745,0.834005,161.436,0,1.045,0.691532,69.024,0.0,0.14743627451,0.548387096774,0.051,0.55914,1.737,0.55914,384.288,0.669355,0.182550234516129,0.119826428933874,-14.216,-10.601,125.688,161.436,1.284,69.024,0.222,1.635,0.19807700000000003
2,200202,CN-HaM,37.37,101.18,GRA,Continental,-0.0732192,0.0333311,0.138875,0.97619,6.28214,0.997024,46.6171,0.997024,-9.424,0.997024,171.975,0.997768,175.283,0,1.95,0.997024,69.014,0.0,0.184695259354,0.995535714286,0.014,0.995536,2.076,0.995536,369.198,0.997024,0.28185477483871,0.140153946723381,-9.342,-5.76,173.743,175.283,2.076,69.014,0.173,1.975,0.0656558
3,200203,CN-HaM,37.37,101.18,GRA,Continental,-0.0805269,0.0704425,0.564974,0.981855,11.096,0.99328,61.9037,0.993952,-4.747,0.994624,218.895,0.993952,201.835,0,2.636,0.994624,68.995,0.0,0.194821615678,0.989247311828,0.516,0.99328,2.471,0.991263,371.967,0.993952,0.100000001,0.0179688061525192,-4.652,-1.784,222.301,201.835,2.734,68.995,0.652,2.42,0.48444709999999996
4,200204,CN-HaM,37.37,101.18,GRA,Continental,-0.26482,0.0606285,1.03689,0.874306,21.0414,0.883333,71.9911,0.884028,1.644,0.884028,242.145,0.893056,231.067,0,3.709,0.884028,68.989,0.0,0.208115751066,0.740277777778,0.851,0.78125,2.501,0.78125,368.012,0.885417,0.100000000258065,0.137792687757269,0.275,3.163,246.629,231.067,3.062,68.989,1.95,2.19,0.77207
5,200205,CN-HaM,37.37,101.18,GRA,Continental,0.823218,1.11101,0.877088,0.821237,50.2207,0.829301,54.9082,0.833333,3.196,0.834005,243.628,0.84543,265.726,0,2.396,0.834005,69.298,0.0,0.180973037249,0.680107526882,3.245,0.72043,2.192,0.72043,362.259,0.831989,0.143772948214286,0.112205107416161,2.968,4.875,229.346,265.726,2.229,69.298,3.892,1.904,1.7003059999999999
6,200206,CN-HaM,37.37,101.18,GRA,Continental,3.4354,3.63655,-0.217588,0.972222,87.0707,0.986806,43.6802,0.988889,8.778,0.988194,252.089,0.990278,286.915,0,3.719,0.988194,69.334,0.0,0.175766655216,0.938888888889,4.128,0.974306,2.183,0.971528,382.026,0.986111,0.172174415806452,0.0953014098426099,9.411,11.261,244.106,286.915,3.909,69.334,5.047,1.843,3.217812
7,200207,CN-HaM,37.37,101.18,GRA,Continental,5.82439,5.94899,-1.90728,0.987231,104.897,0.998656,37.5364,1.0,11.36,1.0,262.351,0.993952,295.043,0,4.354,1.0,69.393,0.0,0.180570919563,0.97311827957,2.303,0.998656,2.043,0.997984,371.307,0.999328,0.160335590333333,0.0880174873475177,11.69,13.407,243.873,295.043,4.019,69.393,1.832,1.723,3.91711
8,200208,CN-HaM,37.37,101.18,GRA,Continental,4.75778,5.19227,-0.728968,0.981183,95.9721,0.997312,41.6154,1.0,9.568,1.0,245.981,1.0,275.986,0,3.841,1.0,69.567,0.0,0.181921687406,0.995295698925,2.981,1.0,1.766,1.0,387.068,0.999328,0.16927262,0.123675465546429,10.793,12.769,239.716,275.986,4.451,69.567,2.938,1.637,4.028812
9,200209,CN-HaM,37.37,101.18,GRA,Continental,2.68036,2.65544,0.0264402,0.977778,53.489,1.0,48.8766,1.0,6.088,1.0,192.487,0.9875,279.484,0,2.888,1.0,69.721,0.0680556,0.228496222138,0.984027777778,2.1,1.0,2.181,1.0,373.223,1.0,0.706696686666667,0.320409973435334,5.219,7.009,164.891,279.484,1.983,69.717,3.479,1.814,2.7068002
10,200210,CN-HaM,37.37,101.18,GRA,Continental,0.241263,0.274144,0.51869,0.450269,20.9985,0.464382,60.9142,0.464382,-1.537,0.465054,180.912,0.662634,208.565,0,2.53,0.465054,69.527,0.0,,,0.843,0.229167,1.962,0.229167,358.196,0.465054,1.22278422903226,0.375805312322347,-1.032,1.797,179.822,208.565,2.729,69.527,0.958,1.97,0.759953
11,200211,CN-HaM,37.37,101.18,GRA,Continental,-0.167471,0.0658854,0.360473,0.921528,6.73443,0.938889,34.3581,0.938889,-9.384,0.939583,151.346,0.945139,182.612,0,1.795,0.939583,69.375,0.00555556,0.148117295365,0.851388888889,0.167,0.865972,1.807,0.865278,360.517,0.938889,1.25897879032258,0.329858995398525,-6.913,-3.93,136.891,182.612,2.344,69.374,0.244,1.854,0.19300199999999998
12,200212,CN-HaM,37.37,101.18,GRA,Continental,-0.092736,0.019619,0.113812,0.961022,4.13432,0.97379,28.1307,0.974462,-12.421,0.974462,123.721,0.977151,166.662,0,1.38,0.974462,68.988,0.0,0.143605603448,0.927419354839,0.015,0.93414,1.745,0.933468,358.794,0.974462,0.644985344666667,0.230961801627816,-12.891,-9.35,114.28,166.662,1.415,68.988,0.098,1.71,0.021075999999999998
13,200301,CN-HaM,37.37,101.18,GRA,Continental,0.0502975,0.00789181,-0.045178,0.985887,1.92845,0.997984,32.2146,0.997984,-13.982,0.998656,142.629,0.998656,146.93,0,1.683,0.998656,69.055,0.0,0.156634803922,0.990591397849,0.0,0.991263,2.081,0.991263,349.276,0.997984,0.099999999516129,0.116696758579208,-13.986,-10.097,131.711,146.93,1.571,69.055,0.121,1.992,0.005119499999999999
14,200302,CN-HaM,37.37,101.18,GRA,Continental,-0.0288135,0.0498264,0.0467451,0.975446,3.41974,0.997768,42.425,1.0,-9.449,1.0,162.177,1.0,175.065,0,2.004,1.0,68.781,0.0,0.181244047619,1.0,0.043,1.0,2.096,1.0,343.478,0.997768,0.265992262258064,0.0366937976456303,-9.561,-6.214,167.149,175.065,2.074,68.781,0.211,1.85,0.0179316
15,200303,CN-HaM,37.37,101.18,GRA,Continental,-0.166841,0.0847024,0.334377,0.980511,10.8276,0.995968,55.6709,1.0,-4.682,1.0,201.5,0.995968,207.279,0,2.641,1.0,68.88,0.0,0.21329905914,1.0,0.413,1.0,2.318,1.0,352.958,0.992608,0.1,,-5.512,-2.819,210.787,207.279,2.526,68.88,0.661,2.082,0.167536
16,200304,CN-HaM,37.37,101.18,GRA,Continental,-0.428274,0.0104668,0.851246,0.936111,30.2289,0.947917,60.2509,0.958333,1.376,0.959722,244.574,0.960417,226.758,0,3.653,0.959722,69.102,0.04375,0.239938830067,0.8875,1.325,0.936111,2.606,0.934722,363.604,0.939583,0.100000000258065,0.0971842416324556,-0.758,1.72,245.534,226.758,2.686,69.099,2.671,2.274,0.42297199999999996
17,200305,CN-HaM,37.37,101.18,GRA,Continental,0.527556,0.869296,0.371079,0.985215,73.5426,0.99664,56.1835,0.999328,4.323,1.0,247.233,1.0,249.708,0,3.447,1.0,69.227,0.0,0.233493959985,0.940860215054,1.948,1.0,2.301,0.997984,359.739,0.995968,0.0999999997142857,0.117866061278765,4.116,6.183,256.407,249.708,3.288,69.227,3.478,1.994,0.8986350000000001
18,200306,CN-HaM,37.37,101.18,GRA,Continental,3.61396,4.02952,-1.28124,0.973611,86.4587,1.0,44.9194,1.0,7.66,1.0,273.836,1.0,254.688,0,4.145,1.0,69.334,0.0,0.199043216374,0.9875,3.447,1.0,2.285,0.999306,366.802,1.0,0.10964893,0.0397284715028557,8.547,10.318,271.918,254.688,4.788,69.334,2.681,1.759,2.33272
19,200307,CN-HaM,37.37,101.18,GRA,Continental,5.58267,6.62523,-1.85271,0.990591,92.0063,0.997984,30.1575,1.0,9.21,1.0,222.298,1.0,279.458,0,3.14,1.0,69.338,0.0,0.165844819159,0.987231182796,3.948,1.0,1.747,0.999328,382.281,0.997984,0.200000001666667,0.102193902987531,10.816,12.533,236.552,279.458,3.998,69.338,5.265,1.579,3.72996
20,200308,CN-HaM,37.37,101.18,GRA,Continental,6.47818,6.90949,-1.84926,0.983199,89.5212,0.99328,34.7592,0.999328,9.968,1.0,216.969,1.0,297.873,0,3.004,1.0,69.482,0.0,0.217397696725,0.983870967742,5.6,1.0,1.825,1.0,385.873,0.993952,0.244691214193548,0.108469598328101,10.592,12.319,207.276,297.873,3.499,69.482,2.857,1.586,4.62892
21,200309,CN-HaM,37.37,101.18,GRA,Continental,3.90607,4.04726,-1.12721,0.985417,74.2403,0.999306,40.7002,1.0,5.94,1.0,206.935,1.0,268.66,0,2.993,1.0,69.589,0.000694444,0.203276268523,0.983333333333,3.34,1.0,1.782,0.999306,379.281,0.999306,0.727771546666667,0.2368777895056,6.165,8.352,194.346,268.66,2.968,69.589,2.41,1.705,2.77886
22,200310,CN-HaM,37.37,101.18,GRA,Continental,1.17262,0.993469,0.320602,0.969086,31.147,0.991263,45.7916,0.991263,0.677,0.991263,172.438,0.991935,234.875,0,2.716,0.991263,69.624,0.0423387,0.196623741861,0.939516129032,0.6,0.974462,1.896,0.973118,373.934,0.991263,1.15629598064516,0.343700391423933,-0.96,1.652,156.722,234.875,2.033,69.622,1.115,1.683,1.493222
23,200311,CN-HaM,37.37,101.18,GRA,Continental,0.0989503,0.197233,0.174764,0.974306,12.4676,0.984722,36.4582,0.984722,-6.649,0.984722,144.89,0.984722,192.873,0,1.781,0.984722,69.209,0.00208333,0.161614224138,0.966666666667,0.257,0.973611,1.77,0.971528,372.077,0.984722,0.883951509677419,0.347346228350618,-7.543,-4.476,133.945,192.873,1.861,69.209,0.173,1.767,0.2737143
24,200312,CN-HaM,37.37,101.18,GRA,Continental,0.12319,0.171184,-0.0687899,0.978495,6.11403,1.0,32.2589,1.0,-12.754,1.0,130.782,0.991263,162.14,0,1.314,1.0,69.187,0.0,0.138357626973,0.999327956989,0.006,0.999328,1.626,0.997984,373.542,1.0,0.822268367666667,0.277024373324888,-13.673,-10.277,116.477,162.14,1.411,69.187,0.049,1.636,0.05440009999999999
25,200401,CN-HaM,37.37,101.18,GRA,Continental,0.148992,0.183446,-0.145871,0.991263,9.64081,1.0,38.3654,1.0,-15.205,1.0,146.555,0.993952,159.058,0,1.036,1.0,68.793,0.0,0.138208333333,1.0,0.161,1.0,1.731,0.998656,375.27,1.0,0.100000000064516,0.0152635980738311,-15.595,-11.918,130.297,159.058,1.191,68.793,0.094,1.699,0.0031210000000000127
26,200402,CN-HaM,37.37,101.18,GRA,Continental,0.194389,0.188403,-0.126199,0.923132,10.22,0.929598,50.8123,0.929598,-12.865,0.929598,173.739,0.931034,165.987,0,1.522,0.929598,68.918,0.00574713,0.155901041667,0.82183908046,0.234,0.836925,1.969,0.836925,370.164,0.929598,0.197323649677419,0.162107019865797,-12.436,-8.977,177.934,165.987,1.732,68.917,0.306,2.203,0.06819
27,200403,CN-HaM,37.37,101.18,GRA,Continental,-0.175862,0.212239,0.320529,0.94422,22.8933,0.949597,49.0509,0.983871,-6.738,0.440188,197.863,0.950269,205.528,0,2.187,0.440188,69.042,0.016129,0.208506747121,0.95564516129,0.559,0.90121,2.542,0.899194,359.496,0.949597,0.1,,-5.198,-2.27,217.691,205.528,2.487,69.037,1.081,2.492,0.14466700000000002
