Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,DE-Akm,53.86617,13.68342,WET,Continental,0.211355,0.134776,0.886315,0.0,,0.0,,0.0,0.038,0.0,24.221,0.0,292.273,0.0,0.801,0.0,101.314,0,,,0.615,0,2.589,0.0,,,0.27594468,0.165155969616145,0.038,0.402,24.221,292.273,0.801,101.314,0.615,2.589,1.09767
2,200902,DE-Akm,53.86617,13.68342,WET,Continental,0.221532,0.227065,0.882045,0.0,,0.0,,0.0,0.229,0.0,43.922,0.0,294.238,0.0,0.636,0.0,100.934,0,,,1.604,0,2.817,0.0,,,0.92703021,0.324515678008759,0.229,0.641,43.922,294.238,0.636,100.934,1.604,2.817,1.103577
3,200903,DE-Akm,53.86617,13.68342,WET,Continental,0.324513,0.417553,0.881223,0.0,,0.0,,0.0,3.644,0.0,91.854,0.0,303.08,0.0,1.37,0.0,100.877,0,,,1.623,0,2.661,0.0,,,0.5368197,0.151572551147274,3.644,4.09,91.854,303.08,1.37,100.877,1.623,2.661,1.205736
4,200904,DE-Akm,53.86617,13.68342,WET,Continental,0.489751,0.823704,0.883233,0.0,,0.0,,0.0,9.748,0.0,216.542,0.0,293.359,0.0,4.686,0.0,101.506,0,,,0.123,0,2.317,0.0,,,0.21170187,0.145754710917949,9.748,10.668,216.542,293.359,4.686,101.506,0.123,2.317,1.372984
5,200905,DE-Akm,53.86617,13.68342,WET,Continental,0.558946,0.874369,0.886315,0.0,,0.0,,0.0,12.512,0.0,229.9,0.0,321.66,0.0,4.604,0.0,101.661,0,,,1.608,0,2.522,0.0,,,0.34391069,,12.512,13.122,229.9,321.66,4.604,101.661,1.608,2.522,1.445261
6,200906,DE-Akm,53.86617,13.68342,WET,Continental,0.615066,0.919667,0.883233,0.0,,0.0,,0.0,14.65,0.0,240.873,0.0,336.786,0.0,4.793,0.0,101.226,0,,,2.347,0,2.898,0.0,,,0.53720635,0.156409813200304,14.65,15.108,240.873,336.786,4.793,101.226,2.347,2.898,1.498299
7,200907,DE-Akm,53.86617,13.68342,WET,Continental,0.717948,0.90712,0.88216,0.0,,0.0,,0.0,18.985,0.0,233.907,0.0,358.733,0.0,6.7,0.0,100.986,0,,,2.855,0,2.363,0.0,,,1.2969247,0.188505835633735,18.985,19.506,233.907,358.733,6.7,100.986,2.855,2.363,1.600108
8,200908,DE-Akm,53.86617,13.68342,WET,Continental,0.731827,0.80139,0.881223,0.0,,0.0,,0.0,19.569,0.0,204.351,0.0,352.667,0.0,8.854,0.0,101.468,0,,,1.391,0,2.438,0.0,,,2.1279984,0.34968195299175,19.569,20.207,204.351,352.667,8.854,101.468,1.391,2.438,1.6130499999999999
9,200909,DE-Akm,53.86617,13.68342,WET,Continental,0.616023,0.576506,0.904785,0.0,,0.0,,0.0,15.632,0.253472,135.511,0.254861,336.757,0.253472,5.607,0.253472,101.686,0,,,1.086,0,2.771,0.0,,,2.7849886,0.489667445951006,16.048,16.691,134.383,338.354,6.011,101.686,1.086,2.771,1.520808
10,200910,DE-Akm,53.86617,13.68342,WET,Continental,0.237343,0.292492,1.08382,0.031586,,0.031586,,0.031586,7.847,1.0,60.919,1.0,324.933,1.0,1.425,1.0,101.353,0,,,2.085,0,2.941,0.0,,,2.0629759,0.558706934115255,8.62,9.013,60.12,321.348,2.4,101.353,2.085,2.941,1.321163
11,200911,DE-Akm,53.86617,13.68342,WET,Continental,0.220614,0.260339,0.845739,0.998611,,0.995139,,0.995139,7.207,1.0,25.607,1.0,322.82,1.0,1.237,1.0,100.471,0,0.349189594299,0.794444444444,2.661,0,3.145,0.811111,398.048,0.995139,1.6793349,0.541430110180789,7.399,7.563,25.289,321.217,1.578,100.471,2.661,3.268,1.066353
12,200912,DE-Akm,53.86617,13.68342,WET,Continental,0.0631112,0.0859719,0.738512,0.995296,,0.999328,,0.999328,0.081,1.0,16.332,0.992608,302.45,1.0,0.402,1.0,100.693,0,0.316228564855,0.852822580645,0.987,0,2.414,0.869624,400.109,0.999328,1.3141738,0.451431744627924,0.647,0.83,14.363,298.755,0.607,100.693,0.987,2.562,0.8016232
13,201001,DE-Akm,53.86617,13.68342,WET,Continental,-0.124671,0.00701108,0.571942,0.999328,,1.0,,1.0,-4.808,1.0,23.962,1.0,276.339,1.0,0.462,1.0,101.513,0,0.36836052548,0.998655913978,1.611,0,2.933,0.999328,401.584,1.0,0.27594468,0.137476831545927,-4.057,-3.901,21.232,281.979,0.449,101.513,1.611,3.003,0.447271
