Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,DE-Seh,50.87062,6.44965,CRO,Temperate,6.55286,2.38024,-3.8888,0.0,46.2869,0.0,7.31648,0.0,6.023,0.0,24.316,0.0,303.417,0,1.218,0.0,99.485,0.0,,,2.448,0.0,3.961,0.0,,,0.120140916451613,0.288701747942658,6.023,6.382,24.316,303.417,1.218,99.485,2.448,3.961,2.66406
2,200702,DE-Seh,50.87062,6.44965,CRO,Temperate,6.52831,4.21455,-3.89382,0.0,46.0974,0.0,7.30898,0.0,5.801,0.0,51.0,0.0,298.249,0,1.201,0.0,98.821,0.0,,,2.145,0.0,2.701,0.0,,,1.05165936516129,0.346283289253267,5.801,6.64,51.0,298.249,1.201,98.821,2.145,2.701,2.6344900000000004
3,200703,DE-Seh,50.87062,6.44965,CRO,Temperate,6.6916,7.28551,-3.88884,0.0,-31.2328,0.0,-4.90924,0.0,7.232,0.0,115.166,0.0,285.846,0,2.468,0.0,99.318,0.0,,,1.488,0.0,2.872,0.0,,,0.401091993666667,0.22337370171427,7.232,8.498,115.166,285.846,2.468,99.318,1.488,2.872,2.80276
4,200704,DE-Seh,50.87062,6.44965,CRO,Temperate,7.41708,11.4395,-3.89038,0.0,53.945,0.0,8.51869,0.0,13.315,0.0,229.714,0.0,293.632,0,6.812,0.0,99.909,0.0,,,0.007,0.0,1.932,0.0,,,0.16927162,0.226519208712051,13.315,15.108,229.714,293.632,6.812,99.909,0.007,1.932,3.5267000000000004
5,200705,DE-Seh,50.87062,6.44965,CRO,Temperate,7.61283,10.804,-3.9103,0.214382,69.454,0.215054,9.88493,0.215054,14.783,0.215726,197.895,0.21707,329.116,0,5.141,0.0,98.922,0.209677,,,3.165,0.209677,2.631,0.196909,,,0.288371793214286,0.278090862952084,14.941,15.85,202.32,329.116,5.141,98.912,2.334,2.6,3.70253
6,200706,DE-Seh,50.87062,6.44965,CRO,Temperate,12.5468,12.2468,-8.30289,0.982639,90.1831,0.988889,-2.37698,1.0,17.598,0.990972,211.505,0.990972,350.801,0,4.624,0.560417,99.095,0.9875,0.219569470071,0.796527777778,1.539,0.988194,1.936,0.955556,392.974,0.988889,0.799804618387097,0.31237002220843,17.533,18.314,209.179,350.801,4.622,99.036,2.858,2.225,4.24391
7,200707,DE-Seh,50.87062,6.44965,CRO,Temperate,12.1126,12.3729,-7.51085,0.968414,93.5653,0.992608,-12.3198,0.994624,17.261,0.993952,209.197,0.994624,344.395,0,6.167,0.993952,99.142,0.989247,0.271413199269,0.823252688172,2.422,0.989247,2.441,0.956317,384.332,0.99328,1.28025993333333,0.355882017346315,17.168,18.071,204.079,344.395,5.278,99.087,2.793,2.771,4.601750000000001
8,200708,DE-Seh,50.87062,6.44965,CRO,Temperate,8.59785,9.14248,-4.14441,0.927419,60.0825,0.981855,-1.82133,0.985887,16.744,0.988575,178.155,0.989919,345.279,0,4.654,0.988575,99.394,0.977823,0.207223661787,0.64314516129,3.062,0.977823,1.886,0.908602,397.411,0.985215,1.6334190483871,0.404926546439188,16.998,18.129,185.637,345.279,4.859,99.327,2.051,2.119,4.45344
9,200709,DE-Seh,50.87062,6.44965,CRO,Temperate,7.62946,8.15449,-3.95048,0.925694,30.5107,0.958333,-3.17455,0.993056,13.427,0.963889,130.118,0.965278,329.914,0,3.113,0.963889,99.783,0.950694,0.218555066461,0.752083333333,2.293,0.950694,2.024,0.9375,400.905,0.959028,2.0505759,0.543774097512514,13.494,14.633,122.844,329.914,3.219,99.726,1.361,2.334,3.6789799999999997
10,200710,DE-Seh,50.87062,6.44965,CRO,Temperate,3.38034,3.74997,-0.300234,0.851478,5.23737,0.948253,0.208025,0.961022,9.659,0.956989,84.285,0.960349,315.019,0,1.679,0.956989,100.18,0.918683,,,1.993,0.918683,1.5,0.826613,424.804,0.952285,1.70974312580645,0.535488506638222,9.986,11.097,80.003,315.019,1.95,100.168,1.05,1.823,3.080106
