Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,DE-SfN,47.80639,11.3275,WET,Continental,3.81898,1.90347,-1.46693,0.0,203.238,0.0,121.291,0.0,-1.017,0.0,46.03,0.0,292.329,0.0,0.727,0.0,94.836,0.0,,,2.752,0.0,1.687,0.0,,,0.940030004516129,0.20490435598773,-1.017,0.167,46.03,292.329,0.727,94.836,2.752,1.687,2.3520499999999998
2,201202,DE-SfN,47.80639,11.3275,WET,Continental,3.26336,3.18182,-1.46967,0.0,192.151,0.0,114.653,0.0,-5.335,0.0,91.013,0.0,272.428,0.0,0.799,0.0,94.925,0.0,,,0.931,0.0,1.352,0.0,,,1.41857145806452,0.234204174916541,-5.335,-3.669,91.013,272.428,0.799,94.925,0.931,1.352,1.79369
3,201203,DE-SfN,47.80639,11.3275,WET,Continental,4.81491,4.63449,-1.46693,0.0,165.91,0.0,99.0139,0.0,5.005,0.0,163.203,0.0,295.172,0.0,2.609,0.0,95.385,0.0,,,0.832,0.0,1.105,0.0,,,0.951733322333333,0.227160519789051,5.005,7.338,163.203,295.172,2.609,95.385,0.832,1.105,3.34798
4,201204,DE-SfN,47.80639,11.3275,WET,Continental,5.11743,4.77569,-1.46825,0.0,164.773,0.0,98.3264,0.0,6.704,0.0,175.306,0.0,314.593,0.0,3.282,0.0,93.893,0.0,,,2.258,0.0,1.345,0.0,,,0.500867165666667,0.112308060925177,6.704,8.216,175.306,314.593,3.282,93.893,2.258,1.345,3.6491799999999994
5,201205,DE-SfN,47.80639,11.3275,WET,Continental,6.20458,5.88505,-1.47487,0.0,135.609,0.0,80.8877,0.0,12.707,0.0,240.485,0.0,326.762,0.0,5.649,0.0,94.785,0.0,,,1.927,0.0,1.272,0.0,,,0.960573612413793,0.129598178379299,12.707,14.1,240.485,326.762,5.649,94.785,1.927,1.272,4.72971
6,201206,DE-SfN,47.80639,11.3275,WET,Continental,6.91255,5.27269,-1.46825,0.0,143.102,0.0,85.3944,0.0,16.551,0.0,208.7,0.0,358.405,0.0,5.668,0.0,94.837,0.0,,,5.281,0.0,1.121,0.0,,,1.09736167516129,0.23488785808331,16.551,17.605,208.7,358.405,5.668,94.837,5.281,1.121,5.4443
7,201207,DE-SfN,47.80639,11.3275,WET,Continental,5.56771,6.12247,-1.54117,0.839382,111.803,0.84543,64.7311,0.846774,17.484,0.877016,219.619,0.877016,371.803,0.877016,5.791,0.877016,94.844,0.847446,,,5.895,0.0,1.496,0.620296,407.878,0.84879,1.25942601333333,0.237578482291,17.184,18.316,208.03,360.628,5.022,94.971,5.895,1.111,4.02654
8,201208,DE-SfN,47.80639,11.3275,WET,Continental,4.79207,5.49529,-1.44145,0.990591,100.406,0.999328,66.1926,0.998656,17.98,1.0,231.275,1.0,366.635,1.0,6.553,1.0,94.966,0.864919,0.226633410114,0.773521505376,4.323,0.0,1.346,0.997312,418.563,1.0,1.50064763548387,0.278277045725536,18.302,19.828,209.435,356.107,6.921,95.134,4.323,0.967,3.35062
9,201209,DE-SfN,47.80639,11.3275,WET,Continental,3.67841,3.34492,-1.47367,0.989583,59.309,0.995833,44.2515,0.997222,12.811,1.0,140.996,1.0,353.497,1.0,3.077,1.0,94.845,0.947917,0.176600479824,0.788194444444,3.208,0.0,1.22,0.986806,414.877,0.997917,1.97443639,0.343226625236975,13.508,15.098,139.948,340.894,3.966,94.922,3.208,1.146,2.20474
10,201210,DE-SfN,47.80639,11.3275,WET,Continental,1.7304,2.11346,-0.852931,0.992608,32.4948,0.998656,24.468,0.999328,8.033,1.0,85.174,1.0,331.379,1.0,1.891,1.0,94.53,0.993952,0.166042001774,0.764784946237,2.303,0.0,1.186,0.985887,426.053,1.0,2.60389152258064,0.389026421723267,8.793,10.777,96.863,319.065,2.918,94.563,2.303,1.171,0.8774689999999999
