Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,DE-Tha,50.96256,13.56515,ENF,Continental,3.80936,1.77955,-3.44917,0.0,3.92482,0.0,10.4118,0.0,-4.554,1.0,41.658,0.99328,259.827,0.0,0.657,0.998656,97.72,0.0,,,0.344,0.0,2.784,0.0,,,,,-4.268,-3.36,37.694,259.827,1.178,97.72,0.344,2.784,0.3601899999999998
2,199602,DE-Tha,50.96256,13.56515,ENF,Continental,3.87782,2.50027,-3.48685,0.0,7.24763,0.0,18.4889,0.0,-3.268,1.0,67.012,1.0,264.519,0.0,0.846,1.0,97.026,0.0,,,1.373,0.0,2.997,0.0,,,,,-2.868,-1.422,63.274,264.519,1.529,97.026,1.373,2.997,0.3909699999999998
3,199603,DE-Tha,50.96256,13.56515,ENF,Continental,3.90178,3.47111,-3.44917,0.0,8.58687,0.0,22.7793,0.0,-0.839,1.0,108.473,1.0,269.972,0.0,0.964,1.0,97.478,0.0,,,1.189,0.0,2.885,0.112231,,,,,0.314,1.65,125.588,269.972,2.012,97.478,1.189,2.875,0.45260999999999996
4,199604,DE-Tha,50.96256,13.56515,ENF,Continental,4.25677,4.62666,-3.55591,0.0,12.7308,0.0,38.9066,0.0,7.977,1.0,177.575,0.986111,291.668,0.0,5.285,1.0,97.457,0.0,,,1.393,1.0,3.227,0.997917,,,,,7.469,9.044,185.203,291.668,4.484,97.457,0.935,2.302,0.7008600000000005
5,199605,DE-Tha,50.96256,13.56515,ENF,Continental,2.78177,4.40629,-2.00711,0.0,9.60122,0.0,48.164,0.0,10.274,1.0,149.382,1.0,328.779,0.0,3.013,1.0,97.033,0.0,,,3.571,0.903226,3.004,1.0,,,,,11.509,12.332,177.052,328.779,3.937,97.033,3.66,2.646,0.7746599999999999
6,199606,DE-Tha,50.96256,13.56515,ENF,Continental,4.005,5.38868,-3.1349,0.0659722,23.4949,0.070139,96.5796,0.070833,13.69,0.995833,203.467,0.997222,334.156,0.0,4.708,0.995833,97.633,0.0,,,3.162,0.233333,2.509,0.499306,,,,,15.215,16.124,224.479,334.156,5.924,97.633,3.544,2.351,0.8700999999999999
7,199607,DE-Tha,50.96256,13.56515,ENF,Continental,5.31829,5.74749,-2.80262,0.952285,28.3488,0.978495,93.9254,0.983199,14.813,0.999328,195.319,1.0,336.52,0.0,4.413,0.999328,97.405,0.0,0.512699973028,0.799059139785,4.503,1.0,3.327,0.975134,,,,,15.071,15.897,202.128,336.52,5.276,97.405,5.626,2.836,2.51567
8,199608,DE-Tha,50.96256,13.56515,ENF,Continental,7.3047,7.59496,-3.70699,0.849462,39.7599,0.930108,61.1014,0.966398,16.893,0.952285,175.48,0.948253,341.356,0.0,6.396,0.952285,97.42,0.0,0.358355839588,0.543010752688,3.303,1.0,2.683,0.846774,,,,,16.337,17.461,173.959,341.356,5.616,97.42,2.856,2.18,3.5977100000000006
9,199609,DE-Tha,50.96256,13.56515,ENF,Continental,4.18451,5.29925,-1.41626,0.435417,30.2529,0.588194,8.96509,0.940278,9.224,0.990278,88.467,0.991667,321.299,0.0,2.14,0.990278,97.274,0.0,,,2.713,1.0,3.16,0.65,,,,,9.988,10.782,108.515,321.299,3.033,97.274,2.483,3.109,2.76825
10,199610,DE-Tha,50.96256,13.56515,ENF,Continental,3.27066,3.61179,-0.839546,0.99328,13.9003,0.997312,6.31066,0.998656,9.222,1.0,70.117,1.0,317.01,0.0,2.377,1.0,97.45,0.0,0.483894225725,0.79502688172,1.874,1.0,3.167,0.91129,373.557,0.895833,,,9.056,10.017,70.41,317.01,2.397,97.45,1.733,2.638,2.431114
11,199611,DE-Tha,50.96256,13.56515,ENF,Continental,1.18703,1.41695,-0.0267197,0.965972,7.60981,0.972222,-0.304641,1.0,4.528,1.0,29.443,1.0,304.272,0.0,1.154,1.0,96.783,0.0,0.622232445408,0.580555555556,1.949,0.0,3.675,0.951389,370.5,0.970833,,,4.557,5.051,31.623,304.272,1.962,96.783,1.949,3.442,1.1603103000000001
12,199612,DE-Tha,50.96256,13.56515,ENF,Continental,0.028562,0.418858,0.6745,0.989247,5.25579,1.0,-1.17783,0.999328,-3.969,1.0,32.166,1.0,263.859,0.0,0.732,1.0,97.336,0.0,0.400071791108,0.931451612903,1.283,0.0,2.838,0.969758,376.151,0.999328,,,-3.479,-2.55,26.809,263.859,1.226,97.336,1.283,2.543,0.703062
13,199701,DE-Tha,50.96256,13.56515,ENF,Continental,0.0189764,0.373596,1.01467,0.964382,0.984476,0.997312,-0.964021,0.997984,-2.219,1.0,32.318,0.99664,272.436,0.0,1.06,1.0,98.057,0.0,0.433677334224,0.640456989247,0.773,0.0,2.775,0.924059,382.195,0.997312,,,-3.155,-1.98,32.282,272.436,1.175,98.057,0.773,2.38,1.0336463999999999
