Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201301,DE-Zrk,53.87594,12.88901,WET,Continental,2.18153,0.475256,-0.693284,0.0,108.311,0.0,17.4081,0.0,-0.253,0.0,20.874,0.0,297.051,0.0,0.351,0.0,101.177,0.0,,,2.458,0,3.029,0.0,,,0.18516415,0.231153475823016,-0.253,0.112,20.874,297.051,0.351,101.177,2.458,3.029,1.488246
2,201302,DE-Zrk,53.87594,12.88901,WET,Continental,2.07136,0.991832,-0.676942,0.0,135.467,0.0,22.254,0.0,-1.021,0.0,47.762,0.0,289.84,0.0,0.307,0.0,101.455,0.0,,,1.419,0,2.585,0.0,,,1.16429667741935,0.40221455655577,-1.021,-0.269,47.762,289.84,0.307,101.455,1.419,2.585,1.394418
3,201303,DE-Zrk,53.87594,12.88901,WET,Continental,2.03149,1.95967,-0.699783,0.0,166.022,0.0,26.9412,0.0,-1.744,0.0,112.924,0.0,267.473,0.0,1.077,0.0,101.275,0.0,,,0.936,0,3.1,0.0,,,0.611317736,0.296690993453117,-1.744,-0.766,112.924,267.473,1.077,101.275,0.936,3.1,1.3317069999999998
4,201304,DE-Zrk,53.87594,12.88901,WET,Continental,2.85359,2.8147,-0.690438,0.0,154.949,0.0,25.1566,0.0,6.121,0.0,179.623,0.0,298.228,0.0,2.435,0.0,101.469,0.0,,,0.909,0,2.509,0.0,,,0.16672187,0.220773810950863,6.121,7.011,179.623,298.228,2.435,101.469,0.909,2.509,2.163152
5,201305,DE-Zrk,53.87594,12.88901,WET,Continental,3.56138,3.58431,-0.683246,0.56922,111.514,0.571237,26.7373,0.571909,13.117,0.572581,202.161,0.572581,335.846,0.572581,3.758,0.572581,100.914,0.56586,0.233520058035,0.516129032258,2.765,0,2.196,0.565188,389.595,0.572581,0.231559476071429,0.137331521051984,12.65,13.341,208.32,335.212,3.514,100.907,2.765,2.236,2.878134
6,201306,DE-Zrk,53.87594,12.88901,WET,Continental,4.75151,4.60802,0.0249989,0.972917,107.613,0.998611,29.7967,1.0,15.975,1.0,248.79,1.0,345.3,1.0,5.078,1.0,101.503,1.0,0.239361170843,0.865277777778,1.591,0,2.456,1.0,405.083,1.0,0.243564930967742,0.109441406449662,15.922,16.546,241.055,345.417,4.96,101.487,1.591,2.426,4.7765089
7,201307,DE-Zrk,53.87594,12.88901,WET,Continental,5.85495,4.90524,0.430835,0.790995,127.042,0.796371,37.8703,0.799731,18.693,0.94086,249.921,0.942204,357.51,0.94086,6.306,0.94086,101.775,0.9375,0.23907254196,0.548387096774,1.424,0,2.014,0.932124,413.933,0.797043,0.581032378666667,0.221441832246166,18.804,19.535,243.182,356.109,5.904,101.787,1.424,2.036,6.285785
8,201308,DE-Zrk,53.87594,12.88901,WET,Continental,4.52425,3.35867,0.11749,0.956989,96.446,0.973118,15.7837,0.975806,17.76,0.990591,189.952,0.991263,353.747,0.990591,5.665,0.990591,101.647,0.984543,,,1.444,0,2.015,0.984543,403.556,0.975806,2.1770001516129,0.473354520570674,18.594,19.455,187.661,354.866,6.543,101.663,1.444,2.21,4.64174
9,201309,DE-Zrk,53.87594,12.88901,WET,Continental,2.62949,2.06768,0.782646,0.992361,50.0657,1.0,5.50908,1.0,12.631,1.0,114.316,1.0,338.697,1.0,2.894,1.0,101.342,1.0,0.210883610914,0.861805555556,1.598,0,2.086,0.997222,402.839,1.0,2.72470841,0.560207200910218,13.337,14.106,108.428,336.202,3.46,101.333,1.598,2.409,3.4121360000000003
10,201310,DE-Zrk,53.87594,12.88901,WET,Continental,0.553795,0.574004,0.8161,0.999328,18.757,1.0,-10.0143,1.0,10.871,1.0,73.106,1.0,324.703,1.0,2.36,1.0,101.417,1.0,0.219269435472,0.852150537634,1.446,0,2.741,1.0,398.823,1.0,2.31871818709677,0.523503817470225,10.963,11.618,63.767,329.681,2.194,101.418,1.446,3.006,1.369895
