Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,ES-LgS,37.09794,-2.96583,OSH,Arid,0.422001,0.499682,-0.0749413,0.939516,27.4715,0.992608,0.509575,0.999328,1.007,1.0,141.771,1.0,254.854,0,3.993,1.0,91.891,0,0.338742794798,0.820564516129,0.645,0.999328,2.388,0.838038,381.541,0.999328,1.40743043548387,0.0806312265858317,-0.788,1.352,112.995,254.854,2.627,91.891,2.023,1.865,0.3470597
2,200702,ES-LgS,37.09794,-2.96583,OSH,Arid,0.352988,0.575199,0.208208,0.97619,37.8925,0.981399,19.3212,0.985119,1.059,1.0,164.195,1.0,288.545,0,2.241,1.0,91.355,0,0.614300017663,0.723214285714,1.121,1.0,3.802,0.752976,380.01,0.985119,1.19634030967742,0.187096749787409,1.385,2.908,140.55,288.545,2.496,91.355,1.439,2.664,0.561196
3,200703,ES-LgS,37.09794,-2.96583,OSH,Arid,0.642707,0.743311,-0.0118028,0.980511,27.32,0.989247,79.4995,0.99328,-0.061,1.0,230.642,1.0,265.652,0,2.6,1.0,91.362,0,0.552092461497,0.730510752688,0.9,1.0,2.966,0.776882,375.385,0.99328,1.697733,0.181020133977676,1.89,3.827,226.304,265.652,3.427,91.362,0.873,2.748,0.6309042
4,200704,ES-LgS,37.09794,-2.96583,OSH,Arid,0.664909,0.617407,0.293089,0.988194,21.2868,0.997222,16.3832,0.997222,0.723,1.0,194.335,1.0,300.801,0,0.813,1.0,91.0,0,,,2.24,1.0,2.346,0.511111,366.569,0.997222,1.2847237116129,0.159813329798937,3.419,4.835,235.025,300.801,3.027,91.0,3.288,2.303,0.9579979999999999
5,200705,ES-LgS,37.09794,-2.96583,OSH,Arid,2.10066,2.06784,-0.896514,0.994624,62.5713,0.997984,108.373,0.999328,6.56,1.0,303.331,1.0,315.908,0,3.851,1.0,91.106,0,0.445985488538,0.869623655914,1.684,1.0,2.535,0.893817,370.249,0.999328,1.51274679642857,0.136912110781292,7.912,9.465,316.776,315.908,5.226,91.106,1.374,2.481,1.204146
6,200706,ES-LgS,37.09794,-2.96583,OSH,Arid,3.48958,3.8337,-1.81276,0.965972,66.2422,0.989583,111.172,0.998611,11.315,1.0,337.663,1.0,348.065,0,5.753,1.0,91.106,0,0.367020699776,0.933333333333,0.003,1.0,2.033,0.933333,364.418,0.998611,1.5362702516129,0.148283084248762,11.854,13.305,339.52,348.065,7.198,91.106,0.048,2.065,1.6768200000000002
7,200707,ES-LgS,37.09794,-2.96583,OSH,Arid,2.1258,2.11543,-0.704203,0.977151,61.3911,0.741263,119.528,0.997984,16.178,1.0,374.851,1.0,362.57,0,11.641,1.0,91.291,0,0.405317290197,0.974462365591,0.0,1.0,2.215,0.914651,359.614,0.999328,1.25261887266667,0.137090420985264,14.819,16.601,342.444,362.57,9.695,91.291,0.005,2.074,1.4215969999999998
8,200708,ES-LgS,37.09794,-2.96583,OSH,Arid,1.49099,1.36817,-0.0795474,0.992608,47.5355,0.0,98.2021,0.997984,14.816,1.0,295.566,1.0,365.103,0,9.221,1.0,91.113,0,0.411421031118,0.965053763441,1.252,1.0,2.148,0.922715,356.983,1.0,1.45105762258065,0.182214352254904,13.956,15.594,291.943,365.103,8.268,91.113,0.789,2.285,1.4114426
9,200709,ES-LgS,37.09794,-2.96583,OSH,Arid,1.35322,1.43937,-0.28867,0.988194,45.4263,0.745833,92.2566,0.999306,11.015,1.0,237.042,1.0,345.658,0,4.791,1.0,91.383,0,0.411669472149,0.941666666667,1.837,1.0,2.285,0.932639,349.003,0.999306,1.53455672666667,0.215156433591737,10.385,12.021,236.041,345.658,5.037,91.383,1.456,1.971,1.06455
10,200710,ES-LgS,37.09794,-2.96583,OSH,Arid,0.925729,0.748292,-0.0434335,0.998656,49.5735,1.0,52.8646,1.0,5.435,1.0,154.07,1.0,311.59,0,2.146,1.0,91.372,0,0.366298313326,0.899865591398,1.645,1.0,2.161,0.899866,352.951,1.0,1.61765992258065,0.199837613726078,6.009,7.557,165.292,311.59,3.408,91.372,1.697,1.922,0.8822955
