Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,FR-LBr,44.71711,-0.7693,ENF,Temperate,8.02143,3.84683,-3.42242,0.0,104.371,0.0,76.3387,0.0,9.772,0.0,64.504,0.0,293.903,0.0,2.293,0.0,100.488,0.0,,,3.089,0.0,3.864,0.0,,,,,9.772,11.064,64.504,293.903,2.293,100.488,3.089,3.864,4.599010000000001
2,199602,FR-LBr,44.71711,-0.7693,ENF,Temperate,7.23855,4.96144,-3.43402,0.0,120.001,0.0,88.8136,0.0,6.312,0.0,90.187,0.0,282.959,0.0,2.341,0.0,101.335,0.0,,,3.519,0.0,4.242,0.0,,,,,6.312,7.325,90.187,282.959,2.341,101.335,3.519,4.242,3.80453
3,199603,FR-LBr,44.71711,-0.7693,ENF,Temperate,8.02111,7.54097,-3.42242,0.0,119.911,0.0,87.7049,0.0,9.625,0.0,173.065,0.0,286.635,0.0,4.679,0.0,101.209,0.0,,,0.771,0.0,2.77,0.0,,,,,9.625,11.299,173.065,286.635,4.679,101.209,0.771,2.77,4.59869
4,199604,FR-LBr,44.71711,-0.7693,ENF,Temperate,8.75386,9.03489,-3.42803,0.0,85.8864,0.0,63.1796,0.0,12.601,0.0,229.607,0.0,305.094,0.0,5.556,0.0,101.341,0.0,,,1.785,0.0,2.837,0.0,,,,,12.601,14.157,229.607,305.094,5.556,101.341,1.785,2.837,5.32583
5,199605,FR-LBr,44.71711,-0.7693,ENF,Temperate,9.42933,9.73279,-3.43213,0.0,88.7267,0.0,65.3818,0.0,15.249,0.0,258.773,0.0,327.98,0.0,6.495,0.0,101.103,0.0,,,2.538,0.0,3.438,0.0,,,,,15.249,16.485,258.773,327.98,6.495,101.103,2.538,3.438,5.9972
6,199606,FR-LBr,44.71711,-0.7693,ENF,Temperate,10.7358,8.74963,-3.42803,0.0,86.8145,0.0,63.8624,0.0,20.145,0.0,293.455,0.0,346.37,0.0,10.972,0.0,101.792,0.0,,,1.522,0.0,2.938,0.0,,,,,20.145,21.311,293.455,346.37,10.972,101.792,1.522,2.938,7.30777
7,199607,FR-LBr,44.71711,-0.7693,ENF,Temperate,8.58505,8.30059,-2.39094,0.665995,86.4559,0.671371,73.3546,0.671371,20.194,0.671371,253.961,0.672715,355.003,0.0,9.581,0.671371,101.599,0.0,,,1.34,0.662634,2.412,0.660618,365.329,0.671371,,,20.991,22.292,275.574,355.003,10.605,101.599,1.141,2.825,6.19411
8,199608,FR-LBr,44.71711,-0.7693,ENF,Temperate,6.16504,5.99604,-0.838054,0.981855,62.8074,0.999328,68.2657,1.0,19.173,1.0,201.296,1.0,351.771,0.0,8.316,1.0,101.448,0.0,0.350163250797,0.752016129032,3.619,0.972446,1.847,0.972446,351.393,1.0,,,19.611,20.839,217.91,351.771,8.163,101.448,1.858,2.566,5.326986000000001
9,199609,FR-LBr,44.71711,-0.7693,ENF,Temperate,5.0208,4.79636,-1.95268,0.9875,70.4994,1.0,48.6949,1.0,15.522,1.0,188.033,1.0,320.405,0.0,5.975,1.0,101.254,0.0,0.348196738079,0.869444444444,1.88,1.0,1.988,1.0,346.008,1.0,,,16.197,17.683,186.561,320.405,6.577,101.254,1.871,2.758,3.0681200000000004
10,199610,FR-LBr,44.71711,-0.7693,ENF,Temperate,4.50926,4.64685,-0.316182,0.986559,40.9451,1.0,5.99235,1.0,13.203,1.0,119.726,1.0,317.652,0.0,2.683,1.0,101.731,0.0,0.306852317938,0.956317204301,2.161,1.0,1.88,1.0,354.824,1.0,,,14.037,15.576,117.198,317.652,3.868,101.731,1.27,3.134,4.193078
