Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,IT-BCi,40.52375,14.95744,CRO,Temperate,-1.62589,3.21564,3.82222,0.0,,0.0,,0.0,9.24,0.0,80.218,0.0,297.509,0.0,3.452,0.0,101.169,0.0,,,3.082,0.0,2.612,0.0,,,0.918020307741935,0.578526370511319,9.24,10.472,80.218,297.509,3.452,101.169,3.082,2.612,2.19633
2,200402,IT-BCi,40.52375,14.95744,CRO,Temperate,-1.40294,4.36698,3.82404,0.0,,0.0,,0.0,10.482,0.0,112.275,0.0,303.469,0.0,3.576,0.0,101.906,0.0,,,2.589,0.0,2.645,0.0,,,0.382170526451613,0.230435406031245,10.482,12.219,112.275,303.469,3.576,101.906,2.589,2.645,2.4211
3,200403,IT-BCi,40.52375,14.95744,CRO,Temperate,-1.08338,6.22425,3.82222,0.0,,0.0,,0.0,12.128,0.0,167.705,0.0,311.014,0.0,4.079,0.0,101.933,0.0,,,3.914,0.0,2.22,0.0,,,0.680671255,0.379055774625221,12.128,13.721,167.705,311.014,4.079,101.933,3.914,2.22,2.73884
4,200404,IT-BCi,40.52375,14.95744,CRO,Temperate,-0.360921,7.3787,3.82475,0.0,,0.006944,,0.006944,15.706,0.00694444,201.106,0.00763889,334.069,0.0,4.189,0.0,101.274,0.0,,,4.681,0.0,2.092,0.0,,,1.18495211833333,0.554984931674676,15.725,17.063,201.11,334.069,4.189,101.274,4.681,2.092,3.463829
5,200405,IT-BCi,40.52375,14.95744,CRO,Temperate,0.348498,8.75177,2.79403,0.62836,,0.979167,,0.980511,14.105,0.981855,246.263,0.981183,328.466,0.0,5.503,0.0,101.419,0.0,,,4.588,1.0,2.874,0.726478,385.922,0.981855,0.896276478965517,0.503725586252444,17.874,19.417,270.046,328.466,5.503,101.419,3.479,2.241,3.1425279999999995
6,200406,IT-BCi,40.52375,14.95744,CRO,Temperate,12.1082,12.4835,-3.75381,0.997917,,0.999306,,0.999306,20.473,1.0,263.117,0.996528,356.341,0.0,7.417,0.0,101.576,0.472222,0.295064741673,0.530555555556,1.761,1.0,1.675,0.835417,401.634,0.999306,0.913764176774194,0.436970182657134,23.602,25.2,283.665,356.341,7.417,101.612,2.872,1.688,8.35439
7,200407,IT-BCi,40.52375,14.95744,CRO,Temperate,14.6371,13.9245,-5.6403,1.0,,1.0,,1.0,22.876,1.0,278.498,1.0,359.171,0.0,10.289,0.0,101.472,0.764785,0.329426156734,0.657930107527,0.295,1.0,1.381,0.992608,386.071,1.0,0.872865100666667,0.326528814312042,26.646,28.378,295.872,359.171,10.289,101.586,1.068,1.693,8.9968
8,200408,IT-BCi,40.52375,14.95744,CRO,Temperate,11.7891,11.0771,-5.39867,1.0,,1.0,,1.0,22.682,1.0,249.112,1.0,358.732,0.0,8.714,0.0,101.402,0.992608,,,1.131,1.0,1.613,0.992608,366.838,1.0,0.720591337419355,0.246576236694116,25.952,27.711,262.729,358.732,8.714,101.567,0.745,1.696,6.390429999999999
9,200409,IT-BCi,40.52375,14.95744,CRO,Temperate,-0.33035,0.0396492,4.3247,0.999306,,1.0,,1.0,20.674,1.0,181.419,0.993056,347.232,0.0,6.759,0.0,101.702,0.726389,,,2.887,1.0,2.457,0.754167,379.675,1.0,0.950234822,0.401295309136526,22.444,24.157,191.557,347.232,6.759,101.792,2.871,1.606,3.99435
10,200410,IT-BCi,40.52375,14.95744,CRO,Temperate,1.32187,0.94744,1.38186,0.784946,,0.870968,,0.879704,18.552,0.827285,127.318,0.864247,346.288,0.0,4.756,0.0,101.769,0.603495,,,4.745,0.847446,1.777,0.597446,399.652,0.881048,1.19128251935484,0.505288667778323,20.316,21.804,132.202,346.288,4.756,101.766,3.108,1.607,2.70373
11,200411,IT-BCi,40.52375,14.95744,CRO,Temperate,2.06235,2.40898,-0.382422,0.759028,,0.888194,,0.933333,12.986,0.643056,76.681,0.649306,320.022,0.0,4.073,0.0,101.548,0.761111,,,5.05,0.573611,2.911,0.976389,386.942,1.0,0.95571340483871,0.428518588061383,14.584,15.782,81.158,320.022,4.073,101.615,4.183,2.069,1.6799279999999999
12,200412,IT-BCi,40.52375,14.95744,CRO,Temperate,2.32106,2.18316,-1.18067,0.801075,,0.90121,,0.962366,12.155,0.765457,57.672,0.768817,325.985,0.0,3.312,0.0,101.759,0.797043,,,4.13,0.732527,3.198,0.715054,374.42,1.0,0.327654080333333,0.18831651666236,13.059,14.056,55.65,325.985,3.312,101.684,6.404,2.486,1.14039
13,200501,IT-BCi,40.52375,14.95744,CRO,Temperate,1.93381,2.19153,-1.08161,1.0,,1.0,,1.0,7.919,1.0,69.159,1.0,292.04,0.0,3.391,0.0,102.102,0.674059,,,6.178,0.999328,2.419,0.725806,384.245,1.0,1.21670570548387,0.576194779524323,8.646,10.234,80.212,292.04,3.391,101.769,3.127,2.078,0.8522000000000001
14,200502,IT-BCi,40.52375,14.95744,CRO,Temperate,2.4579,3.30405,-1.53965,0.997768,,0.999256,,1.0,6.839,0.995536,98.494,0.997024,297.427,0.0,3.331,0.0,101.428,0.36756,,,6.795,1.0,3.193,0.763393,387.141,1.0,0.457767147419355,0.20266922870111,8.097,9.599,97.164,297.427,3.331,101.229,5.801,2.365,0.91825
15,200503,IT-BCi,40.52375,14.95744,CRO,Temperate,4.77199,5.22966,-2.7801,0.995968,,0.999328,,0.999328,10.594,1.0,164.423,0.991263,309.683,0.0,4.02,0.0,101.849,0.439516,0.315815672115,0.541666666667,2.384,0.99664,2.315,0.995296,385.237,1.0,0.784509149666667,0.403551733978858,11.884,13.625,179.14,309.683,4.02,101.641,2.549,2.007,1.9918899999999997
16,200504,IT-BCi,40.52375,14.95744,CRO,Temperate,5.3958,5.71171,-2.45072,1.0,,1.0,,1.0,13.656,1.0,204.799,1.0,318.982,0.0,5.048,0.0,101.53,0.0,,,2.548,0.915278,2.054,0.727778,395.679,1.0,0.83517432,0.465420895003434,15.219,16.844,235.842,318.982,5.048,101.53,2.916,2.206,2.9450800000000004
17,200505,IT-BCi,40.52375,14.95744,CRO,Temperate,0.0650486,0.234642,4.31154,1.0,,0.99328,,1.0,19.165,1.0,232.554,1.0,340.532,0.0,6.98,0.0,101.883,0.772177,,,1.729,1.0,2.38,0.765457,372.534,1.0,0.885210313928571,0.477042356113997,21.061,22.753,276.666,340.532,6.98,101.598,0.939,1.942,4.3765886
18,200506,IT-BCi,40.52375,14.95744,CRO,Temperate,8.43308,8.04919,-2.27673,0.979861,,0.993056,,0.997222,22.024,1.0,268.791,0.98125,355.393,0.0,8.271,0.94375,101.966,0.806944,0.2751711756,0.513194444444,1.279,1.0,1.908,0.821528,389.904,0.994444,0.797244109677419,0.39741970360008,24.121,25.713,290.484,355.393,8.222,101.687,2.298,1.617,6.15635
19,200507,IT-BCi,40.52375,14.95744,CRO,Temperate,17.8416,15.1059,-9.04553,0.985887,,1.0,,0.999328,23.832,1.0,284.43,1.0,360.338,0.0,8.218,1.0,101.817,1.0,0.338487643451,0.622983870968,0.27,1.0,1.357,0.989919,382.11,1.0,0.923991301666667,0.383418743107199,26.763,28.414,294.791,360.338,10.183,101.49,0.019,1.949,8.79607
20,200508,IT-BCi,40.52375,14.95744,CRO,Temperate,9.88415,9.27267,-1.32296,0.918011,,0.968414,,0.986559,23.252,1.0,252.414,0.974462,358.941,0.0,8.688,1.0,101.747,0.869624,,,1.478,1.0,1.697,0.864247,370.468,0.989247,1.00534096580645,0.280437601294985,25.005,26.509,244.958,358.941,8.313,101.502,1.625,1.859,8.56119
21,200509,IT-BCi,40.52375,14.95744,CRO,Temperate,0.0618328,0.0218513,3.92163,0.863889,,0.995833,,0.995833,22.035,1.0,178.666,1.0,351.706,0.0,8.269,1.0,101.971,0.767361,,,7.958,1.0,2.563,0.920139,378.519,0.997222,1.00947874133333,0.386979176202965,22.448,24.009,182.569,351.706,6.036,101.741,3.378,1.563,3.9834628
22,200510,IT-BCi,40.52375,14.95744,CRO,Temperate,1.07792,1.1951,2.73277,0.536962,,0.748656,,0.766129,17.508,0.575941,133.632,0.377016,333.653,0.0,4.485,0.372312,102.428,1.0,,,6.684,0.586694,2.41,0.796371,378.409,0.802419,1.0849221483871,0.508867345719784,18.022,19.532,131.806,333.653,4.571,102.101,3.309,1.506,3.81069
23,200511,IT-BCi,40.52375,14.95744,CRO,Temperate,2.79311,3.01015,-0.40859,0.974306,,0.992361,,0.991667,12.767,1.0,80.32,0.997222,315.231,0.0,3.185,0.996528,101.928,0.540972,,,4.906,0.959028,2.231,0.860417,383.796,0.990972,0.509753563225806,0.346259834308375,13.848,15.242,87.608,315.231,3.817,101.728,4.562,1.981,2.38452
24,200512,IT-BCi,40.52375,14.95744,CRO,Temperate,2.9638,3.05826,-1.32327,0.879704,,0.913978,,0.933468,9.159,0.941532,52.692,0.943548,306.888,0.0,2.662,0.941532,101.871,0.659274,,,4.925,0.893817,2.598,0.821237,381.668,0.939516,0.203449799,0.139159530456934,10.273,11.297,60.583,306.888,3.313,101.576,6.113,2.453,1.64053
25,200601,IT-BCi,40.52375,14.95744,CRO,Temperate,3.77258,3.20007,-1.85197,0.472446,,0.505376,,0.52621,8.242,1.0,73.071,1.0,296.78,0.0,3.43,1.0,102.071,0.267473,,,2.75,0.977151,2.263,0.268145,379.825,0.521505,0.9150831,0.51359226235077,8.714,10.107,78.731,296.78,3.433,101.963,2.379,2.199,1.9206100000000002
26,200602,IT-BCi,40.52375,14.95744,CRO,Temperate,3.25054,3.02378,-0.763245,0.950893,,0.997768,,0.999256,9.123,1.0,102.83,1.0,301.328,0.0,3.114,1.0,101.727,1.0,,,3.229,1.0,2.653,0.99628,373.447,1.0,1.04290034580645,0.277239898959942,9.651,11.233,108.979,301.328,3.546,101.272,3.615,2.363,2.487295
27,200603,IT-BCi,40.52375,14.95744,CRO,Temperate,1.71282,1.94311,0.739067,0.883065,,0.986559,,0.998656,10.547,1.0,121.907,1.0,315.923,0.0,2.781,1.0,101.625,1.0,,,4.08,1.0,2.871,0.997312,381.618,1.0,1.05013722666667,0.400050831730551,11.975,13.276,157.765,315.923,3.983,101.164,3.495,2.575,2.451887
28,200604,IT-BCi,40.52375,14.95744,CRO,Temperate,-0.643552,0.251898,3.48834,0.824306,,0.91875,,0.945833,14.401,0.968056,200.956,0.939583,325.101,0.0,4.225,0.959028,101.707,0.954167,,,1.528,0.295833,1.772,0.950694,395.103,0.957639,1.16951085806452,0.520307375735844,16.478,18.212,226.788,325.101,5.314,101.374,1.714,1.863,2.844788
29,200605,IT-BCi,40.52375,14.95744,CRO,Temperate,1.26309,1.75089,1.86729,0.984543,,0.999328,,0.999328,18.63,1.0,274.41,1.0,331.471,0.0,6.397,1.0,101.578,1.0,0.212305074034,0.851478494624,0.549,1.0,2.271,0.997984,383.753,1.0,0.726959824285714,0.518921380190639,20.655,22.518,292.068,331.471,7.32,101.731,0.37,1.775,3.1303799999999997
