Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,IT-CA2,42.37722,12.02604,CRO,Temperate,-0.533279,0.461379,1.66218,0.0,46.1826,0.0,173.354,0.0,6.226,0.0,64.465,0.0,315.699,0.0,2.049,0.0,98.995,0.0,,,1.921,0.0,2.488,0.0,,,1.13678128709677,0.351194042677587,6.226,7.709,64.465,315.699,2.049,98.995,1.921,2.488,1.128901
2,201102,IT-CA2,42.37722,12.02604,CRO,Temperate,-0.506467,0.647682,1.66141,0.0,45.6458,0.0,171.857,0.0,6.626,0.0,116.903,0.0,300.289,0.0,3.054,0.0,98.832,0.0,,,1.165,0.0,2.976,0.0,,,1.01299807516129,0.318479953359155,6.626,8.52,116.903,300.289,3.054,98.832,1.165,2.976,1.154943
3,201103,IT-CA2,42.37722,12.02604,CRO,Temperate,-0.308452,0.762451,1.66391,0.0,40.0482,0.0,150.631,0.0,9.221,0.0,159.587,0.0,322.391,0.0,3.495,0.0,99.178,0.0,,,3.834,0.0,3.188,0.0,,,1.41320111333333,0.412144055870271,9.221,10.761,159.587,322.391,3.495,99.178,3.834,3.188,1.355458
4,201104,IT-CA2,42.37722,12.02604,CRO,Temperate,0.127956,0.937614,1.66254,0.0,42.4478,0.0,159.595,0.0,14.374,0.0,225.416,0.0,338.805,0.0,6.708,0.0,98.87,0.0,,,1.207,0.0,2.344,0.0,,,1.17758785483871,0.354667513844734,14.374,16.145,225.416,338.805,6.708,98.87,1.207,2.344,1.7904959999999999
5,201105,IT-CA2,42.37722,12.02604,CRO,Temperate,0.458454,1.07186,1.66218,0.0,40.1835,0.0,150.835,0.0,17.905,0.0,287.023,0.0,350.115,0.0,9.064,0.0,98.977,0.0,,,1.179,0.0,2.607,0.0,,,1.09897621071429,0.385039698706925,17.905,19.622,287.023,350.115,9.064,98.977,1.179,2.607,2.120634
6,201106,IT-CA2,42.37722,12.02604,CRO,Temperate,0.659592,1.11973,1.7776,0.0,42.2306,0.0,143.731,0.0,21.016,0.789583,310.683,0.790972,376.118,0.0,8.664,0.789583,98.858,0.0,,,1.684,0.783333,2.119,0.0,,,1.27835267741935,0.394083743489867,21.361,22.844,290.544,376.118,9.821,98.858,2.519,2.119,2.437192
7,201107,IT-CA2,42.37722,12.02604,CRO,Temperate,0.592514,0.824661,2.20523,0.590054,33.4127,0.613575,84.1947,0.617608,21.941,0.839382,286.672,0.84207,378.034,0.0,8.564,0.839382,98.582,0.0,,,4.532,0.376344,2.457,0.0,403.825,0.617608,1.76636359666667,0.458057013708583,22.253,23.672,281.457,378.034,10.39,98.582,2.412,2.457,2.797744
8,201108,IT-CA2,42.37722,12.02604,CRO,Temperate,0.550511,0.34917,2.03831,0.819892,26.6743,0.866263,94.3523,0.867608,24.111,0.884409,282.682,0.888441,386.42,0.0,14.785,0.884409,98.865,0.0,0.210984141228,0.622311827957,0.006,1.0,1.845,0.0,391.904,0.86828,1.34041029677419,0.379298203259481,24.646,26.477,268.794,386.42,15.295,98.865,0.213,1.845,2.5888210000000003
9,201109,IT-CA2,42.37722,12.02604,CRO,Temperate,1.93291,1.62404,0.316857,0.00625,38.5222,0.027778,74.8901,0.026389,21.613,0.909028,213.551,0.911806,372.646,0.0,10.453,0.909028,98.971,0.0,,,4.008,1.0,2.095,0.0,396.304,0.0277778,1.1894787,0.316587748641135,21.806,23.632,201.996,372.646,10.537,98.971,0.585,2.095,2.249767
10,201110,IT-CA2,42.37722,12.02604,CRO,Temperate,4.08783,3.92764,-1.95505,0.834677,60.0294,0.866263,1.00371,0.868952,15.306,0.998656,153.95,1.0,335.814,0.0,6.383,0.998656,99.28,0.602151,,,1.277,1.0,3.0,0.602151,395.146,0.874328,1.21215640967742,0.333447166631299,15.024,16.856,138.34,335.814,6.434,99.197,1.433,2.683,2.1327800000000003
11,201111,IT-CA2,42.37722,12.02604,CRO,Temperate,4.99708,4.55866,-2.74366,0.982639,55.1487,0.99375,-38.2598,0.994444,11.211,0.995139,106.607,1.0,317.071,0.0,3.721,0.995139,99.474,0.566667,,,0.762,1.0,2.601,0.566667,389.446,0.995139,1.08382255322581,0.294256886432402,9.978,11.965,87.251,317.071,3.083,99.386,1.117,2.342,2.25342
12,201112,IT-CA2,42.37722,12.02604,CRO,Temperate,1.39273,1.1046,0.329639,0.71371,15.3886,0.987231,-11.2481,0.986559,8.629,0.997312,71.924,1.0,311.598,0.165995,3.082,0.997312,99.098,0.263441,,,0.854,0.969086,2.998,0.263441,412.114,0.948253,0.765048186,0.249870598253857,7.783,9.24,66.336,305.749,2.456,99.073,1.784,3.069,1.722369
13,201201,IT-CA2,42.37722,12.02604,CRO,Temperate,1.1791,0.674057,-0.150376,0.96371,25.6825,0.983199,-4.95139,0.983199,6.45,0.983199,86.761,0.938844,292.765,0.934812,3.162,0.983199,99.192,0.59543,,,0.737,0.999328,2.639,0.59543,402.127,0.983199,1.01623313451613,0.322604877108709,5.569,7.396,82.01,294.511,2.689,99.205,0.482,2.377,1.028724
