Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199801,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.817204,,0.819892,-3.026,0.0,63.751,0.0,238.315,0.0,1.77,0.0,81.758,0.982527,0.218574033842,0.764784946237,0.439,0.982527,1.73,0.0,350.248,0.819892,,,-3.026,-1.426,63.751,238.315,1.77,81.911,0.576,1.73,
2,199802,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.629464,,0.635417,0.648,0.302083,114.539,0.0,243.254,0.0,2.965,0.12872,82.47,0.811012,0.20559675061,0.612351190476,0.127,0.811012,1.504,0.0,376.644,0.635417,,,0.34,2.89,114.539,243.254,2.698,82.64,0.137,1.504,
3,199803,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.647177,,0.649866,-0.967,1.0,159.014,0.0,249.82,0.0,3.176,0.644489,82.016,0.63172,0.337472252524,0.583333333333,0.662,0.63172,2.043,0.0,374.017,0.649866,,,-0.798,0.963,159.014,249.82,2.3,82.145,0.703,2.043,
4,199804,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.284028,,0.283333,1.151,1.0,177.629,0.0,275.666,0.0,1.783,0.763194,81.096,0.753472,,,4.232,0.753472,1.814,0.0,370.267,0.285417,,,2.667,3.805,177.629,275.666,2.367,81.149,3.437,1.814,
5,199805,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.0,,0.0,7.556,1.0,229.321,0.0,291.348,0.0,4.039,0.993952,81.917,0.977823,,,1.005,0.977823,1.573,0.0,370.479,0.0,,,7.588,8.777,229.321,291.348,3.638,82.09,1.409,1.573,
6,199806,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.0,,0.0,11.257,1.0,239.348,0.0,313.826,0.0,4.225,1.0,82.29,0.984028,,,6.95,0.982639,1.466,0.0,356.395,0.0,,,11.465,12.419,239.348,313.826,4.188,82.434,4.985,1.466,
7,199807,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.189516,,0.186828,13.136,1.0,223.368,0.0,326.23,0.0,4.736,0.995296,82.151,0.962366,,,7.274,0.986559,1.514,0.0,355.493,0.189516,,,12.862,13.838,223.368,326.23,4.213,82.274,4.597,1.514,
8,199808,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.887097,,0.888441,14.161,1.0,218.748,0.0,318.069,0.0,6.205,0.997984,82.39,0.971774,0.258256705892,0.864919354839,2.279,0.971774,1.305,0.0,356.869,0.888441,,,13.041,14.249,218.748,318.069,4.921,82.586,2.504,1.305,
9,199809,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.995833,,0.994444,8.129,1.0,142.809,0.0,303.481,0.0,2.502,1.0,81.848,0.986111,0.255632135508,0.981944444444,4.946,0.986111,1.58,0.0,361.161,0.995833,,,8.22,9.473,142.809,303.481,2.897,81.988,4.413,1.58,
10,199810,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.698253,,0.695565,4.068,1.0,88.952,0.0,287.523,0.0,2.522,0.998656,81.869,0.984543,0.231204854168,0.684811827957,6.978,0.662634,1.484,0.0,363.028,0.698253,,,4.394,5.672,88.952,287.523,2.079,81.979,4.039,1.484,
11,199811,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.608333,,0.607639,-2.12,0.566667,63.234,0.0,256.62,0.0,1.685,0.115278,81.749,0.113889,0.244555188446,0.574305555556,1.152,0.0,1.504,0.0,371.45,0.609722,,,-1.965,-0.663,63.234,256.62,1.731,81.747,1.152,1.504,
12,199812,IT-Ren,46.58686,11.43369,ENF,Continental,,,,,,0.99328,,0.995968,-3.421,0.000672043,49.69,0.000672043,240.924,0.0,1.642,0.000672043,82.125,0.0,0.246753282762,0.959677419355,0.441,0.0,1.65,0.0,371.925,0.995968,,,-3.42,-2.116,49.69,240.924,1.642,82.125,0.441,1.65,
13,199901,IT-Ren,46.58686,11.43369,ENF,Continental,0.434176,0.0577023,0.133459,0.680108,,0.972446,,0.972446,-2.071,1.0,64.094,1.0,236.884,0.0,2.892,1.0,81.789,0.0,,,1.149,0.0,1.654,0.0,369.533,0.972446,,,-3.263,-1.718,61.886,236.884,1.859,81.789,1.149,1.654,0.567635
14,199902,IT-Ren,46.58686,11.43369,ENF,Continental,0.0973499,0.138405,0.213679,0.962054,,0.999256,,0.999256,-5.013,1.0,97.19,1.0,245.605,0.0,2.216,1.0,81.312,0.0,0.311315830719,0.806547619048,1.348,0.0,2.169,0.0,370.991,0.999256,,,-4.287,-3.009,87.075,245.605,1.757,81.312,1.348,2.169,0.3110289
15,199903,IT-Ren,46.58686,11.43369,ENF,Continental,0.569043,0.586031,0.0508982,0.885081,,0.999328,,0.998656,-0.224,1.0,147.276,1.0,259.507,0.0,2.391,0.997984,81.518,0.0,0.277463190878,0.792338709677,1.698,0.0,1.796,0.0,370.848,0.992608,,,0.42,2.043,151.54,259.507,2.183,81.518,1.698,1.796,0.6199412
16,199904,IT-Ren,46.58686,11.43369,ENF,Continental,2.08302,1.95372,-0.927491,0.884028,,0.999306,,1.0,2.52,1.0,162.57,1.0,276.228,0.0,2.209,0.995833,81.727,0.0,0.264734474564,0.911111111111,3.258,0.0,1.644,0.0,370.264,1.0,,,3.147,4.425,183.704,276.228,2.427,81.727,3.258,1.644,1.155529
17,199905,IT-Ren,46.58686,11.43369,ENF,Continental,3.82531,3.70834,-1.23547,0.883737,,0.998656,,0.997984,8.477,1.0,178.708,1.0,303.42,0.0,2.375,1.0,82.254,0.0,0.249518300629,0.958333333333,3.887,0.0,1.412,0.0,362.704,0.999328,,,8.554,9.679,202.213,303.42,2.997,82.254,3.887,1.412,2.5898399999999997
18,199906,IT-Ren,46.58686,11.43369,ENF,Continental,5.07506,5.73757,-2.10349,0.931944,,0.989583,,0.988889,9.937,1.0,221.316,1.0,311.63,0.0,3.548,1.0,82.416,0.0,0.289604643311,0.817361111111,3.833,0.0,1.531,0.0,354.638,0.990972,,,10.308,11.175,224.502,311.63,3.492,82.416,3.833,1.531,2.97157
19,199907,IT-Ren,46.58686,11.43369,ENF,Continental,6.91525,7.44367,-2.52318,0.949597,,0.993952,,0.995296,13.069,1.0,226.915,1.0,324.215,0.0,4.538,1.0,82.448,0.0,0.310682076296,0.864247311828,3.529,0.0,1.424,0.0,351.928,0.995968,,,12.564,13.54,216.2,324.215,4.077,82.448,3.529,1.424,4.39207
20,199908,IT-Ren,46.58686,11.43369,ENF,Continental,5.10738,5.23366,-1.21106,0.96707,,0.999328,,1.0,12.271,1.0,165.91,1.0,327.893,0.0,2.906,1.0,82.308,0.0,0.262384526952,0.958333333333,5.022,0.0,1.278,0.0,351.36,1.0,,,12.207,13.153,180.907,327.893,3.195,82.308,5.022,1.278,3.8963200000000002
21,199909,IT-Ren,46.58686,11.43369,ENF,Continental,4.35139,2.76945,-2.97822,0.8,,0.817361,,0.995833,10.179,1.0,142.025,1.0,309.626,0.0,2.958,1.0,82.275,0.0,0.265149506034,0.91875,2.735,0.0,1.518,0.0,356.626,0.817361,,,10.66,11.889,160.783,309.626,3.537,82.275,2.735,1.518,1.3731700000000004
22,199910,IT-Ren,46.58686,11.43369,ENF,Continental,2.16843,2.21735,-0.552038,0.658602,,0.945565,,0.97043,5.345,1.0,98.678,1.0,283.447,0.0,3.143,1.0,82.29,0.0,0.219249052014,0.689516129032,1.923,0.0,1.593,0.0,364.942,0.946237,,,5.391,6.783,110.952,283.447,2.46,82.29,1.923,1.593,1.6163919999999998
23,199911,IT-Ren,46.58686,11.43369,ENF,Continental,0.708445,0.703115,0.379385,0.886806,4.62038,0.896528,5.55679,0.896528,-1.823,1.0,65.066,1.0,259.245,0.0,2.25,1.0,82.075,0.0,0.285087665982,0.74375,1.97,0.0,1.653,0.0,365.722,0.896528,,,-0.778,0.681,61.56,259.245,1.845,82.075,1.97,1.653,1.0878299999999999
