Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0845219,0.0,,0.0,,0.0,-9.886,0.0,53.174,0.0,235.043,0.0,0.362,0.0,93.664,0.0,,,2.399,0,4.313,0.0,,,0.100000000967742,0.0974353704908095,-9.886,-9.165,53.174,235.043,0.362,93.664,2.399,4.313,
2,200302,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0795471,0.0,,0.0,,0.0,-11.455,0.0,99.03,0.0,221.523,0.0,0.397,0.0,94.311,0.0,,,0.799,0,2.689,0.0,,,1.38200373225806,0.399239031268666,-11.455,-10.216,99.03,221.523,0.397,94.311,0.799,2.689,
3,200303,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0779452,0.0,,0.0,,0.0,-6.06,0.0,140.235,0.0,245.442,0.0,0.646,0.0,94.138,0.0,,,1.829,0,3.907,0.0,,,0.514632379666667,0.366273067642785,-6.06,-4.927,140.235,245.442,0.646,94.138,1.829,3.907,
4,200304,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0807089,0.0,,0.0,,0.0,1.607,0.0,164.622,0.0,280.985,0.0,1.47,0.0,93.974,0.0,,,1.755,0,3.553,0.0,,,0.184511623677419,0.480950419102781,1.607,3.033,164.622,280.985,1.47,93.974,1.755,3.553,
5,200305,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0845219,0.0,,0.0,,0.0,7.939,0.0,222.163,0.0,298.341,0.0,2.644,0.0,94.189,0.0,,,1.286,0,3.09,0.0,,,0.1,0.0563030268094285,7.939,9.386,222.163,298.341,2.644,94.189,1.286,3.09,
6,200306,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0807089,0.0,,0.0,,0.0,12.671,0.0,210.394,0.0,334.991,0.0,2.625,0.0,93.638,0.0,,,1.832,0,2.614,0.0,,,0.1,0.140502570511075,12.671,13.845,210.394,334.991,2.625,93.638,1.832,2.614,
7,200307,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0796595,0.0,,0.467742,,0.467742,13.514,0.469086,212.644,0.47043,330.843,0.469086,2.89,0.469086,94.093,0.427419,,,1.641,0,2.242,0.465726,,,0.0999999989,0.0878755136507072,13.356,14.606,208.979,332.1,2.851,94.059,1.641,2.205,
8,200308,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0779452,0.0,,1.0,,1.0,16.201,1.0,142.905,1.0,356.793,1.0,2.078,1.0,93.984,0.935484,0.48631947793,0.926747311828,2.333,0,3.248,1.0,365.21,1.0,1.05260893419355,0.216062679182569,16.238,17.411,164.563,352.157,2.935,93.839,2.333,2.747,
9,200309,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0807089,0.0,,0.999306,,0.999306,12.265,1.0,135.515,1.0,320.622,1.0,2.233,1.0,94.219,0.891667,0.498802983539,0.891666666667,2.588,0,3.278,1.0,369.821,0.999306,5.08390081666667,0.621489950200045,12.438,13.562,128.09,324.112,2.451,94.122,2.588,2.844,
10,200310,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0845219,0.0,,1.0,,0.999328,6.106,1.0,86.135,1.0,293.081,1.0,1.651,1.0,94.076,0.912634,0.634252232143,0.897177419355,3.07,0,4.249,1.0,377.204,1.0,3.58764652258065,0.687347171064971,6.474,7.489,87.938,292.833,1.685,94.071,3.07,3.873,
11,200311,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0807089,0.0,,0.386111,,0.386806,-0.278,0.997917,48.915,0.997222,273.301,0.997917,0.752,0.997917,94.543,0.186111,,,2.721,0,4.128,0.988194,392.963,0.386111,4.4699297,0.658542337688337,0.224,0.921,53.612,270.319,1.056,94.54,2.721,4.32,
12,200312,JP-MBF,44.3869,142.3186,DBF,Continental,,,-0.0796595,0.0,,0.0,,0.0,-6.284,0.834677,41.084,0.842742,250.649,0.834677,0.35,0.834677,93.721,0.0,,,2.832,0,3.92,0.72379,400.099,0.0,4.77940748333333,0.579388086974102,-6.295,-5.593,40.794,246.255,0.516,93.721,2.832,4.159,
13,200401,JP-MBF,44.3869,142.3186,DBF,Continental,0.166321,0.0551627,-0.0779452,0.0,,0.0,,0.0,-8.457,0.0645161,50.724,0.0712366,238.899,0.0645161,0.402,0.0645161,93.839,0.0,,,3.559,0,3.353,0.0168011,418.701,0.0,0.099999999516129,0.340678870044338,-8.519,-7.734,49.888,241.005,0.392,93.839,3.559,3.339,0.08837579999999999
14,200402,JP-MBF,44.3869,142.3186,DBF,Continental,0.118901,0.0803025,-0.0928268,0.0,,0.0,,0.0,-7.974,0.983477,74.324,0.97773,260.882,0.983477,0.339,0.983477,93.613,0.0,,,3.783,0,3.849,0.956897,452.557,0.0,1.43558884548387,0.450040570799699,-7.833,-6.947,82.253,246.111,0.487,93.613,3.783,4.054,0.026074200000000006
15,200403,JP-MBF,44.3869,142.3186,DBF,Continental,0.0948454,0.146468,-0.0330286,0.0,,0.0,,0.0,-5.01,1.0,137.902,0.989247,255.102,1.0,0.916,1.0,93.893,0.0,,,1.709,0,4.885,1.0,445.12,0.0,0.640274747,0.356576816379958,-4.946,-3.738,135.809,251.23,0.92,93.893,1.709,4.555,0.0618168
16,200404,JP-MBF,44.3869,142.3186,DBF,Continental,0.0150348,0.191729,0.05335,0.460417,,0.525,,0.551389,0.042,1.0,181.828,0.998611,263.452,1.0,1.835,1.0,93.511,0.393056,,,2.11,0,4.475,1.0,420.182,0.552083,0.190084103,,-0.105,1.183,180.425,262.032,1.4,93.544,2.11,3.874,0.0683848
17,200405,JP-MBF,44.3869,142.3186,DBF,Continental,1.52963,2.03405,0.0905104,0.899866,,0.999328,,0.997984,9.543,1.0,199.738,1.0,307.848,1.0,3.87,1.0,93.784,0.998656,0.632307394887,0.763440860215,3.655,0,4.539,1.0,399.072,1.0,0.1,0.413654681473233,8.726,9.905,184.628,316.569,2.499,93.727,3.655,3.752,1.6201404000000001
