Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,US-AR1,36.4267,-99.42,GRA,Temperate,-0.0269098,2.25047,1.94621,0.0,52.0353,0.0,16.1204,0.0,1.424,0.0,128.72,0.0,261.216,0.0,1.959,0.0,94.559,0.0,,,0.125,0.0,3.534,0.0,,,0.281269431935484,0.14787475515419,1.424,3.841,128.72,261.216,1.959,94.559,0.125,3.534,1.9193002
2,200902,US-AR1,36.4267,-99.42,GRA,Temperate,0.666271,2.63688,1.94292,0.0,55.1141,0.0,17.1801,0.0,6.424,0.0,175.167,0.0,274.407,0.0,3.758,0.0,94.421,0.0,,,0.458,0.0,3.829,0.0,,,0.573654969354839,0.204757048329238,6.424,8.695,175.167,274.407,3.758,94.421,0.458,3.829,2.609191
3,200903,US-AR1,36.4267,-99.42,GRA,Temperate,1.36275,2.83452,1.93546,0.0,59.0532,0.0,18.2214,0.0,10.815,0.0,200.775,0.0,305.189,0.0,6.458,0.0,94.092,0.0,,,1.637,0.0,4.359,0.0,,,0.30745276,0.171862857801808,10.815,12.78,200.775,305.189,6.458,94.092,1.637,4.359,3.29821
4,200904,US-AR1,36.4267,-99.42,GRA,Temperate,1.76091,3.12872,1.92044,0.0604167,61.4686,0.061806,19.1358,0.061806,13.427,0.0618056,245.732,0.0631944,323.535,0.0618056,4.943,0.0618056,93.925,0.0520833,,,4.311,0.0520833,4.482,0.0520833,,,0.275342536774194,0.139350790301895,13.428,15.346,244.671,323.88,4.956,93.927,4.568,4.484,3.68135
5,200905,US-AR1,36.4267,-99.42,GRA,Temperate,6.54638,5.16113,-0.933123,0.932124,88.526,0.959005,22.5452,0.959677,17.992,1.0,248.396,1.0,358.49,1.0,6.901,1.0,94.17,1.0,0.327907803515,0.773521505376,0.0,1.0,3.53,0.798387,372.884,0.959677,0.222068451428571,0.149173578826151,18.816,20.448,276.249,355.203,8.362,94.186,0.714,3.503,5.613257
6,200906,US-AR1,36.4267,-99.42,GRA,Temperate,4.1229,3.96471,-0.391341,0.988194,79.9672,0.996528,33.5524,0.997222,25.754,1.0,288.246,1.0,394.173,1.0,14.179,1.0,93.812,1.0,0.339903826118,0.945833333333,1.307,1.0,3.977,0.952083,367.906,0.997222,0.278443270967742,0.145432326024089,25.803,27.214,289.982,395.94,15.011,93.833,2.21,3.515,3.7315589999999994
7,200907,US-AR1,36.4267,-99.42,GRA,Temperate,1.86516,1.81317,0.770934,0.977823,56.7676,0.998656,53.4615,1.0,27.246,1.0,296.394,1.0,404.058,0.998656,17.673,1.0,94.214,1.0,0.309307497524,0.965725806452,1.048,1.0,3.553,0.985887,373.6,1.0,0.46969473,0.157559373808014,26.987,28.376,288.835,402.836,17.428,94.166,1.488,3.106,2.636094
8,200908,US-AR1,36.4267,-99.42,GRA,Temperate,0.74833,1.60903,1.03534,0.985215,48.9143,0.998656,59.7118,0.998656,25.839,1.0,281.485,1.0,395.733,1.0,13.237,1.0,94.295,1.0,0.320713960034,0.945564516129,2.984,1.0,3.86,0.977823,372.059,0.998656,0.881018516451613,0.302986204725098,26.01,27.533,273.007,401.23,14.555,94.249,0.676,3.455,1.7836699999999999
9,200909,US-AR1,36.4267,-99.42,GRA,Temperate,1.03519,1.00132,1.53167,0.990278,23.3956,0.995833,45.5039,0.995833,20.119,0.995139,202.097,0.995139,369.301,0.995139,7.142,0.995139,94.409,0.992361,0.257444503865,0.961805555556,0.713,0.992361,3.036,0.984028,364.736,0.963194,1.022155339,0.311337949920145,19.882,21.468,193.382,371.032,6.894,94.397,1.948,3.088,2.56686
10,200910,US-AR1,36.4267,-99.42,GRA,Temperate,0.415033,0.219404,1.05817,0.774194,25.6845,0.788306,18.0455,0.788306,11.062,0.800403,126.819,0.803763,318.929,0.800403,3.796,0.791667,94.064,0.616263,,,3.239,0.616263,4.033,0.590054,377.02,0.788978,0.830623029032258,0.269266438021641,11.455,12.814,136.426,326.247,3.015,94.078,4.542,3.89,1.473203
11,200911,US-AR1,36.4267,-99.42,GRA,Temperate,0.867694,0.717752,0.386978,0.994444,14.6378,0.999306,8.76136,1.0,10.419,1.0,126.543,0.998611,301.423,1.0,4.695,1.0,94.402,1.0,0.285021873677,0.925,0.22,1.0,3.983,0.976389,370.532,1.0,0.865376267419355,0.23375994645956,9.705,11.67,125.887,300.225,2.833,94.441,0.513,3.47,1.254672
12,200912,US-AR1,36.4267,-99.42,GRA,Temperate,0.392358,0.4862,0.00873243,0.99664,7.22117,0.997312,11.3859,1.0,-0.052,1.0,107.635,1.0,256.214,1.0,2.244,1.0,94.266,0.999328,0.2852569977,0.961693548387,0.081,0.999328,3.954,0.995968,363.297,1.0,0.964624866666667,0.275867265333251,-0.267,1.565,104.943,259.445,0.821,94.357,0.407,3.726,0.40109043
13,201001,US-AR1,36.4267,-99.42,GRA,Temperate,0.263671,0.496472,0.182505,0.973118,6.53359,0.999328,10.6778,0.999328,0.182,0.99328,115.09,0.99328,266.308,0.99328,2.186,0.99328,94.48,0.991935,0.257546423282,0.938172043011,0.3,0.991935,3.418,0.987903,367.383,0.992608,0.241126357096774,0.139951094369164,0.081,2.067,119.743,263.577,0.95,94.532,0.852,3.06,0.446176
14,201002,US-AR1,36.4267,-99.42,GRA,Temperate,0.479116,0.400958,0.18178,0.973214,17.292,1.0,14.1042,1.0,0.642,1.0,130.972,1.0,274.621,1.0,1.798,1.0,94.28,0.994792,0.243197152682,0.88244047619,0.936,1.0,3.387,0.952381,386.756,1.0,0.642182016451613,0.257651439156305,0.416,2.352,151.141,271.384,0.671,94.409,1.516,3.068,0.6608959999999999
