Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,US-KS2,28.6086,-80.6715,CSH,Temperate,3.2173,2.59942,-0.657796,0.0,41.4773,0.986559,38.003,0.674731,12.996,1.0,148.229,1.0,338.712,0,4.416,1.0,102.096,1.0,0.291725233245,0.865591397849,0.565,0.992608,2.098,0.464382,382.361,0.992608,1.47514922903226,0.38518273010419,11.703,12.383,145.435,338.712,4.882,102.146,0.671,2.15,2.5595039999999996
2,200302,US-KS2,28.6086,-80.6715,CSH,Temperate,2.74228,2.6113,0.157639,0.0,52.1729,0.983631,31.3432,0.985119,18.113,0.997768,154.146,0.997768,358.487,0,4.629,1.0,101.796,0.994792,0.287441934712,0.827380952381,1.832,0.99256,1.886,0.614583,392.888,0.995536,1.95552267419355,0.418324616622481,17.02,17.767,160.697,358.487,4.984,101.826,0.938,1.935,2.899919
3,200303,US-KS2,28.6086,-80.6715,CSH,Temperate,3.35424,2.52287,-0.210842,0.103495,43.7422,0.930108,81.1091,0.929435,21.914,0.983199,175.93,0.734543,383.714,0,5.709,0.99328,101.448,0.489247,0.297812864498,0.865591397849,3.13,0.948253,1.933,0.891801,400.536,0.969086,1.79921609333333,0.416876634019042,20.886,21.506,187.5,383.714,4.876,101.435,2.991,1.714,3.143398
4,200304,US-KS2,28.6086,-80.6715,CSH,Temperate,6.64462,6.25941,-2.22609,0.739583,98.0425,0.740278,60.296,0.739583,21.651,1.0,240.3,1.0,370.982,0,7.697,1.0,101.672,0.808333,0.323220501775,0.549305555556,1.083,0.995833,1.994,0.565972,387.814,0.779167,1.55994976451613,0.405877620350764,20.435,21.137,237.003,370.982,7.107,101.674,1.96,1.877,4.41853
5,200305,US-KS2,28.6086,-80.6715,CSH,Temperate,7.77358,7.51454,-1.60282,0.939516,93.0755,0.953629,64.3505,0.954301,25.549,1.0,274.645,1.0,399.366,0,9.158,1.0,101.588,1.0,0.306957200636,0.665322580645,0.841,0.992608,1.847,0.686156,395.499,0.93414,1.44423801071429,0.378868828517703,25.137,25.718,249.935,399.366,7.341,101.59,3.132,1.585,6.17076
6,200306,US-KS2,28.6086,-80.6715,CSH,Temperate,8.05515,7.33512,-0.57927,0.979167,89.5957,0.988889,14.5209,0.981944,25.789,1.0,231.859,0.997222,417.024,0,6.546,1.0,101.624,1.0,0.236176236854,0.55625,7.453,1.0,1.666,0.613889,395.874,0.995139,2.00402056774194,0.401025257352104,25.828,26.246,221.354,417.024,5.736,101.61,5.985,1.571,7.475879999999999
7,200307,US-KS2,28.6086,-80.6715,CSH,Temperate,6.89358,7.41598,-1.87232,0.68078,96.8413,0.482527,25.3633,0.498656,26.418,1.0,240.964,1.0,418.039,0,7.034,1.0,101.951,0.999328,,,4.519,0.999328,1.312,0.322581,391.374,0.115591,2.76469058333333,0.48186897584418,26.592,27.059,227.173,418.039,6.389,101.92,4.314,1.275,5.02126
8,200308,US-KS2,28.6086,-80.6715,CSH,Temperate,6.73153,7.40973,-0.868774,0.531586,106.782,0.55578,32.0026,0.55578,25.967,1.0,214.129,1.0,422.573,0,5.753,1.0,101.815,1.0,,,5.658,1.0,1.556,0.351478,398.25,0.560484,2.96738079354839,0.504461105618556,26.102,26.368,198.047,422.573,5.266,101.769,7.241,1.512,5.862756
9,200309,US-KS2,28.6086,-80.6715,CSH,Temperate,6.19515,6.4345,-0.146254,0.996528,70.5169,0.999306,25.761,0.999306,25.353,1.0,185.963,1.0,418.551,0,5.482,1.0,101.537,1.0,0.29015993709,0.847222222222,4.693,1.0,1.86,0.858333,394.193,0.999306,2.74318721,0.556539697486226,25.659,26.08,177.503,418.551,5.512,101.494,6.192,1.61,6.048896
10,200310,US-KS2,28.6086,-80.6715,CSH,Temperate,5.24071,5.11942,-0.78671,0.994624,61.4879,0.995296,9.46839,0.995296,23.842,1.0,162.074,1.0,402.77,0,6.908,1.0,101.528,1.0,0.282905739288,0.690188172043,4.165,1.0,1.956,0.700269,397.835,0.997312,2.60519114516129,0.531907618343966,24.443,24.959,166.833,402.77,7.768,101.492,3.364,1.873,4.454
11,200311,US-KS2,28.6086,-80.6715,CSH,Temperate,4.15848,3.99978,-0.22204,0.986111,45.2018,0.993056,0.61491,0.993056,21.353,1.0,148.237,1.0,391.868,0,6.13,1.0,101.921,1.0,0.289610490412,0.907638888889,1.793,0.998611,2.056,0.920833,401.16,0.999306,2.61257259354839,0.519265091985703,22.027,22.591,138.925,391.868,7.201,101.888,2.599,2.176,3.93644
12,200312,US-KS2,28.6086,-80.6715,CSH,Temperate,3.76737,3.66165,-0.555067,0.99328,38.6026,0.995968,7.28681,0.995968,15.317,1.0,134.606,1.0,361.621,0,4.723,1.0,102.028,0.961022,0.289740338351,0.798387096774,1.577,1.0,2.104,0.801075,401.883,0.995968,2.39329803666667,0.412212671279476,15.581,16.259,125.367,361.621,6.124,102.058,1.331,2.232,3.2123030000000004
13,200401,US-KS2,28.6086,-80.6715,CSH,Temperate,3.62955,3.57571,-0.780014,0.979167,40.3457,0.981183,19.0144,0.980511,14.558,0.995968,145.599,0.99664,358.54,0,4.097,0.995968,102.013,0.979839,0.297685517129,0.680779569892,1.955,0.979839,1.99,0.739247,396.544,0.985215,1.46543686129032,0.38093420856237,15.189,15.818,134.077,358.54,5.511,102.036,1.574,1.96,2.849536
14,200402,US-KS2,28.6086,-80.6715,CSH,Temperate,3.39482,3.8359,-0.383208,0.9375,36.7897,0.94181,34.445,0.942529,16.059,1.0,140.047,1.0,371.766,0,3.877,1.0,101.957,1.0,0.305129020634,0.655172413793,3.152,1.0,2.202,0.688218,395.359,0.947557,1.82649163870968,0.43092527884307,16.706,17.384,149.087,371.766,4.987,101.932,3.055,2.055,3.0116120000000004
15,200403,US-KS2,28.6086,-80.6715,CSH,Temperate,3.73397,3.78417,-0.473082,0.983871,55.8179,0.984543,58.6813,0.983871,19.082,1.0,221.151,1.0,358.667,0,7.158,1.0,102.22,1.0,0.349828982288,0.817876344086,0.387,1.0,2.371,0.827285,394.388,0.994624,1.67180428333333,0.386012598773324,18.401,19.008,207.662,358.667,7.266,102.223,0.788,2.176,3.2608879999999996
16,200404,US-KS2,28.6086,-80.6715,CSH,Temperate,4.69927,4.62075,-0.723176,0.915278,75.6243,0.966667,87.4844,0.967361,20.078,1.0,255.776,1.0,357.353,0,7.964,1.0,101.784,0.994444,0.326298030009,0.795833333333,1.037,1.0,2.218,0.809028,393.431,0.968056,1.52948173666667,0.416863511371837,19.572,20.266,254.42,357.353,8.067,101.813,0.973,2.202,3.9760940000000002
17,200405,US-KS2,28.6086,-80.6715,CSH,Temperate,6.44104,6.41276,-1.79489,0.987903,101.309,1.0,95.5169,1.0,23.993,1.0,291.997,1.0,376.804,0,9.224,1.0,101.998,0.965054,0.343847410944,0.940188172043,0.911,1.0,2.139,0.954973,382.999,1.0,1.35794376896552,0.391196962607819,23.43,24.152,272.689,376.804,8.086,101.973,0.966,1.954,4.6461500000000004
