Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,US-Prr,65.12367,-147.48756,ENF,Continental,-0.171347,0.0,0.236048,0.0,0.0517466,0.0,0.0293653,0.0,-23.7,0.0,5.473,0.0,202.428,0.0,0.284,0.0,98.538,0.0,,,0.098,0.0,2.489,0.0,,,0.43970811,,-23.7,-23.24,5.473,202.428,0.284,98.538,0.098,2.489,0.06470100000000001
2,201002,US-Prr,65.12367,-147.48756,ENF,Continental,-0.0635612,0.0,0.234791,0.0,1.50639,0.0,0.849134,0.0,-15.642,0.0,27.744,0.0,221.657,0.0,0.516,0.0,98.28,0.0,,,0.145,0.0,2.122,0.0,,,0.259079949032258,,-15.642,-14.248,27.744,221.657,0.516,98.28,0.145,2.122,0.1712298
3,201003,US-Prr,65.12367,-147.48756,ENF,Continental,0.0148284,0.0,0.232501,0.0,6.60956,0.0,3.95306,0.0,-10.923,0.0,104.986,0.0,213.491,0.0,1.175,0.0,97.538,0.0,,,0.168,0.0,2.554,0.0,,,0.4772518,,-10.923,-8.955,104.986,213.491,1.175,97.538,0.168,2.554,0.2473294
4,201004,US-Prr,65.12367,-147.48756,ENF,Continental,0.265037,0.0,0.234435,0.0,5.46024,0.0,3.14973,0.0,1.8,0.0,173.874,0.0,261.512,0.0,3.771,0.0,98.12,0.0,,,0.486,0.0,2.276,0.0,,,0.4512299,,1.8,3.391,173.874,261.512,3.771,98.12,0.486,2.276,0.499472
5,201005,US-Prr,65.12367,-147.48756,ENF,Continental,0.455647,0.0,0.236048,0.0,4.80839,0.0,2.72868,0.0,10.962,0.0,223.246,0.0,305.684,0.0,7.12,0.0,98.991,0.0,,,0.674,0.0,1.904,0.0,,,0.100000001071429,,10.962,11.781,223.246,305.684,7.12,98.991,0.674,1.904,0.6916950000000001
6,201006,US-Prr,65.12367,-147.48756,ENF,Continental,0.533037,0.0,0.234435,0.0,3.7465,0.0,2.16116,0.0,14.572,0.0,217.59,0.0,332.882,0.0,6.725,0.0,98.624,0.0,,,2.183,0.0,1.821,0.0,,,0.0999999994193548,,14.572,14.876,217.59,332.882,6.725,98.624,2.183,1.821,0.7674719999999999
7,201007,US-Prr,65.12367,-147.48756,ENF,Continental,0.562585,0.0,0.234756,0.0,3.54018,0.0,2.00009,0.0,16.045,0.0,197.684,0.0,346.413,0.0,7.504,0.0,98.877,0.0,,,1.464,0.0,2.193,0.0,,,0.401250296333333,,16.045,16.527,197.684,346.413,7.504,98.877,1.464,2.193,0.797341
8,201008,US-Prr,65.12367,-147.48756,ENF,Continental,0.525292,0.0,0.232501,0.0,3.81046,0.0,2.27897,0.0,14.139,0.0,161.691,0.0,334.379,0.0,6.063,0.0,98.944,0.0,,,1.484,0.0,2.026,0.0,,,1.12036997806452,0.254638413693155,14.139,15.073,161.691,334.379,6.063,98.944,1.484,2.026,0.7577929999999999
9,201009,US-Prr,65.12367,-147.48756,ENF,Continental,0.366976,0.0,0.234435,0.0,5.93804,0.0,3.42535,0.0,6.631,0.0,111.698,0.0,285.184,0.0,3.295,0.0,98.936,0.0,,,0.59,0.0,2.015,0.0,,,1.63856341,0.312371551331563,6.631,8.103,111.698,285.184,3.295,98.936,0.59,2.015,0.601411
10,201010,US-Prr,65.12367,-147.48756,ENF,Continental,0.04539,0.0,0.346405,0.719086,5.638,0.790323,-5.2706,0.781586,-3.19,0.122984,44.113,0.124328,252.741,0.122984,1.374,0.122984,97.712,0.112231,0.216364622023,0.772177419355,0.416,0.547715,2.309,0.112231,382.617,0.794355,1.73281934193548,0.387929504199452,-3.025,-1.932,43.77,252.946,1.383,97.705,0.362,2.279,0.391795
