Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,US-SRC,31.9083,-110.8395,MF,Arid,0.315354,0.613779,-0.166982,0.0,15.0904,0.0,59.7972,0.0,9.234,0.0,146.739,0.589382,292.411,0.0,5.191,0.0,90.43,0.0,,,1.119,0.0,2.102,0.0,,,0.200000000322581,0.110558101539781,9.234,11.519,146.821,292.411,5.191,90.43,1.119,2.102,0.14837200000000003
2,200802,US-SRC,31.9083,-110.8395,MF,Arid,0.341999,0.601521,-0.16678,0.0,14.2155,0.0,56.4865,0.0,11.194,0.0,198.152,0.56681,288.522,0.0,7.865,0.0,90.298,0.0,,,0.815,0.0,2.183,0.0,,,0.341293917419355,0.159369946303789,11.194,14.291,198.478,288.522,7.865,90.298,0.815,2.183,0.17521899999999999
3,200803,US-SRC,31.9083,-110.8395,MF,Arid,0.347562,0.477033,-0.205712,0.56922,15.2751,0.593414,70.7572,0.593414,14.853,0.594086,268.741,0.645161,282.736,0.419355,14.205,0.593414,90.257,0.406586,,,0.09,0.62164,2.32,0.406586,378.96,0.593414,0.250909993333333,0.144300634094029,15.315,18.221,273.788,282.964,13.805,90.266,0.051,2.294,0.14184999999999998
4,200804,US-SRC,31.9083,-110.8395,MF,Arid,0.0319388,0.283773,-0.112104,0.449306,10.6573,0.504861,96.4972,0.506944,19.456,0.506944,323.524,0.488889,290.227,0.0,19.599,0.506944,90.12,0.299306,,,0.051,1.0,2.703,0.299306,374.206,0.506944,0.202410036,0.130768650782178,19.335,22.287,324.033,290.227,19.19,90.153,0.009,2.598,-0.08016519999999999
5,200805,US-SRC,31.9083,-110.8395,MF,Arid,-0.176711,0.0785515,0.289767,0.90457,13.9159,0.995968,114.82,0.997312,22.059,0.998656,342.607,0.780242,321.049,0.677419,21.294,0.99664,89.852,0.997312,0.36794257087,0.997311827957,0.336,1.0,2.928,0.997312,370.598,0.997312,0.19999999862069,0.113632150915881,21.799,24.239,340.328,317.763,21.011,89.963,0.186,2.662,0.11305599999999999
6,200806,US-SRC,31.9083,-110.8395,MF,Arid,0.263698,0.0315699,0.356094,0.456944,21.9827,0.504167,103.818,0.504167,29.348,0.504167,349.711,0.667361,359.426,0.504167,33.997,0.504167,90.087,0.411806,,,1.084,1.0,2.263,0.411806,371.536,0.504167,0.2,0.123926280263902,29.545,31.882,349.124,357.777,34.705,90.163,0.042,2.076,0.619792
7,200807,US-SRC,31.9083,-110.8395,MF,Arid,2.28724,2.14122,-0.053039,0.778898,98.8574,0.83871,38.1709,0.83871,26.828,0.84207,270.819,0.858871,403.929,0.84207,15.703,0.83871,90.133,0.752016,0.228502717391,0.741935483871,5.356,0.662634,1.694,0.752016,379.236,0.83871,0.229651761333333,0.127237956383612,26.991,28.466,274.487,401.511,17.225,90.268,3.122,1.379,2.234201
8,200808,US-SRC,31.9083,-110.8395,MF,Arid,1.72717,2.03871,-0.00558749,0.961022,78.0997,0.995968,60.3636,0.995968,26.598,1.0,259.581,1.0,401.247,1.0,14.178,0.995296,90.035,1.0,0.241934139785,1.0,3.709,0.600134,1.783,1.0,364.939,0.995968,0.2,0.122543151344802,27.107,28.602,260.901,403.089,17.709,90.172,2.784,1.381,1.7215825100000002
9,200809,US-SRC,31.9083,-110.8395,MF,Arid,1.64863,1.67539,-0.217515,0.916667,65.0295,0.988889,54.7823,0.988889,25.547,0.988889,260.708,0.988889,370.291,0.988889,18.351,0.988889,90.101,0.9875,0.282610972222,0.9875,0.864,1.0,2.076,0.9875,366.847,0.988889,0.218017763333333,0.120276106694436,25.256,27.456,243.15,376.685,17.859,90.237,1.077,1.645,1.4311150000000001
10,200810,US-SRC,31.9083,-110.8395,MF,Arid,0.285778,0.466172,-0.097709,0.952285,14.4711,1.0,56.478,1.0,21.35,1.0,220.394,1.0,325.238,1.0,17.968,1.0,90.342,1.0,0.276418682796,1.0,0.033,1.0,2.195,1.0,364.924,1.0,0.45503207,0.189743056574698,21.044,23.872,216.762,328.308,17.033,90.453,0.787,1.972,0.188069
11,200811,US-SRC,31.9083,-110.8395,MF,Arid,0.0703098,0.186672,-0.0555238,0.957639,9.79974,1.0,44.863,1.0,15.621,1.0,172.936,1.0,304.163,1.0,10.906,1.0,90.433,1.0,0.239383333333,1.0,0.398,1.0,2.012,1.0,365.961,1.0,0.628947430645161,0.215082419932324,15.293,18.079,167.257,305.824,11.401,90.464,0.823,1.906,0.014786000000000007
12,200812,US-SRC,31.9083,-110.8395,MF,Arid,0.0152172,0.0979966,0.0566646,0.950269,19.4937,1.0,24.0005,1.0,10.441,1.0,128.56,1.0,291.366,1.0,5.999,1.0,90.431,1.0,0.275538861618,0.998655913978,1.163,1.0,2.298,0.998656,372.058,1.0,0.613232019,0.212083765615198,10.291,12.654,130.336,297.892,5.749,90.375,1.003,2.302,0.0718818
13,200901,US-SRC,31.9083,-110.8395,MF,Arid,0.0530085,0.305121,-0.105071,0.969086,20.5342,1.0,33.9449,1.0,11.74,1.0,158.625,1.0,289.173,1.0,7.551,1.0,90.617,1.0,0.211886424731,1.0,0.533,1.0,1.837,1.0,373.004,1.0,0.200000002580645,0.117349339598218,10.941,13.89,151.806,291.242,7.314,90.576,0.524,1.846,-0.0520625
14,200902,US-SRC,31.9083,-110.8395,MF,Arid,0.240082,0.350412,-0.221792,0.978423,25.8721,1.0,51.1794,1.0,12.799,1.0,207.378,1.0,286.427,1.0,9.921,1.0,90.455,1.0,0.254521471088,0.995535714286,0.644,1.0,2.182,0.995536,372.64,1.0,0.293405134193548,0.145871808954324,12.709,15.817,204.63,288.639,10.613,90.429,0.653,2.2,0.01829
15,200903,US-SRC,31.9083,-110.8395,MF,Arid,0.494659,0.691013,-0.326881,0.985215,20.8048,1.0,72.7625,1.0,15.884,1.0,255.343,1.0,296.454,1.0,12.755,1.0,90.166,1.0,0.298954973118,1.0,0.123,1.0,2.44,1.0,371.14,1.0,0.275878094,0.135090962729585,16.358,19.106,258.96,295.738,14.601,90.189,0.142,2.113,0.16777800000000004
16,200904,US-SRC,31.9083,-110.8395,MF,Arid,0.219351,0.264696,-0.0616059,0.980556,14.6501,1.0,105.454,1.0,18.47,1.0,317.424,1.0,302.937,1.0,16.123,1.0,90.08,1.0,0.36643125,1.0,0.085,1.0,2.816,1.0,370.226,1.0,0.200000001935484,0.12896243838169,18.367,21.116,316.928,299.732,17.027,90.147,0.073,2.595,0.1577451
17,200905,US-SRC,31.9083,-110.8395,MF,Arid,0.188013,0.167506,0.0581425,0.689516,12.3106,0.700269,100.423,0.700269,25.815,0.700941,325.249,0.782258,349.148,0.700941,25.239,0.700941,90.026,0.612903,0.285629385965,0.612903225806,0.162,0.612903,2.055,0.612903,367.805,0.700941,0.245284025357143,0.118058301993523,25.318,27.725,325.995,345.577,25.005,90.151,0.257,1.91,0.24615550000000003
18,200906,US-SRC,31.9083,-110.8395,MF,Arid,0.00421724,0.222392,0.195042,0.800694,14.8985,0.8125,110.455,0.8125,26.46,0.813889,317.132,0.846528,363.256,0.813889,23.401,0.8125,89.949,0.721528,0.32291981305,0.721527777778,0.195,0.866667,2.437,0.721528,364.526,0.8125,0.299794929677419,0.129811472968149,26.435,28.466,325.272,360.384,24.822,90.063,0.588,2.015,0.19925924
19,200907,US-SRC,31.9083,-110.8395,MF,Arid,0.665297,0.837568,0.333526,0.983199,51.4281,0.998656,85.8563,0.998656,29.507,1.0,289.091,1.0,405.603,1.0,21.446,0.999328,90.196,1.0,0.26975,1.0,1.918,0.917339,2.045,1.0,368.325,0.999328,0.285386387,0.130534947724757,30.945,32.746,299.554,406.234,30.18,90.38,0.425,1.652,0.998823
