Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,US-SRG,31.789379,-110.827675,GRA,Arid,0.747718,0.0981883,-0.289539,0.0,23.8567,0.0,48.2008,0.0,9.584,0.0,144.805,0.58871,271.57,0.0,7.639,0.0,87.371,0.0,,,1.379,0.0,2.198,0.0,,,0.212664373548387,0.129943035398295,9.584,11.57,144.866,271.57,7.639,87.371,1.379,2.198,0.458179
2,200802,US-SRG,31.789379,-110.827675,GRA,Arid,0.785594,0.1227,-0.293173,0.00431034,23.358,0.006466,46.79,0.006466,11.25,0.00646552,195.51,0.56681,267.735,0.0,9.701,0.00646552,87.251,0.0,,,1.005,0.0,2.283,0.0,,,0.504104303548387,0.20329596146864,11.298,14.006,195.836,267.735,9.734,87.251,1.005,2.283,0.492421
3,200803,US-SRG,31.789379,-110.827675,GRA,Arid,0.889587,0.1568,-0.27785,0.78293,29.8919,0.811828,50.334,0.81922,14.397,0.895161,269.617,0.527554,262.256,0.0,13.717,0.895161,87.395,0.670699,0.286435527482,0.644489247312,0.295,0.789651,2.71,0.670699,379.905,0.81922,0.300000012,0.165085004223424,14.901,17.442,270.143,262.256,14.389,87.222,0.063,2.399,0.611737
4,200804,US-SRG,31.789379,-110.827675,GRA,Arid,0.503866,0.270631,0.147362,0.6,17.197,0.628472,74.6291,0.631944,17.984,0.822917,326.155,0.683333,266.783,0.597222,18.512,0.822917,87.168,0.214583,,,0.008,0.690972,2.975,0.214583,377.775,0.629861,0.214745548666667,0.144639392774299,18.415,20.996,319.719,269.417,18.608,87.119,0.012,2.717,0.651228
5,200805,US-SRG,31.789379,-110.827675,GRA,Arid,0.403408,0.355611,0.3041,0.933468,23.3865,0.96707,81.0998,0.981183,20.449,0.989919,341.165,0.990591,298.143,0.989919,20.302,0.989919,87.13,0.889785,0.349827083333,0.967741935484,0.418,0.981855,2.789,0.981855,374.892,0.918011,0.2,0.119857546584702,20.569,22.703,335.798,296.567,20.035,86.946,0.229,2.784,0.707508
6,200806,US-SRG,31.789379,-110.827675,GRA,Arid,0.277898,0.469114,0.862181,0.995833,25.651,0.999306,73.5943,1.0,27.832,1.0,337.079,1.0,344.476,1.0,31.341,1.0,87.361,1.0,0.293312529551,0.999305555556,1.973,1.0,2.512,0.999306,383.441,0.999306,0.206860200967742,0.129438332210543,27.342,29.384,344.477,336.021,30.766,87.128,0.052,2.172,1.140079
7,200807,US-SRG,31.789379,-110.827675,GRA,Arid,5.75093,5.77526,-0.915954,0.987231,122.535,0.997312,21.5565,1.0,24.891,1.0,262.117,1.0,384.113,1.0,14.102,1.0,87.458,0.990591,0.235672569937,0.984543010753,5.195,1.0,1.765,0.984543,392.253,0.998656,0.293745393333333,0.13494184488006,25.109,26.398,270.833,379.142,17.069,87.224,3.849,1.443,4.834976
8,200808,US-SRG,31.789379,-110.827675,GRA,Arid,5.58523,6.14308,-1.99012,0.96707,113.939,0.995968,29.4075,0.997312,24.391,1.0,249.719,1.0,380.811,1.0,13.076,1.0,87.376,0.903898,0.226217490842,0.888440860215,3.743,0.99328,1.593,0.903898,389.232,0.997312,0.387337800322581,0.15139438459254,25.21,26.518,257.428,380.698,17.448,87.136,3.431,1.444,3.59511
9,200809,US-SRG,31.789379,-110.827675,GRA,Arid,3.41435,3.29802,-1.05567,0.997222,86.3509,0.999306,25.6915,0.998611,23.916,1.0,255.601,1.0,346.809,1.0,17.558,1.0,87.437,1.0,0.336705948068,0.998611111111,1.008,1.0,2.482,0.998611,381.172,1.0,0.356395411,0.150245334258487,23.591,25.515,239.914,354.664,17.565,87.196,1.328,1.721,2.35868
10,200810,US-SRG,31.789379,-110.827675,GRA,Arid,0.615779,0.630603,0.188132,0.997312,22.8768,1.0,33.3827,1.0,20.72,1.0,223.218,1.0,304.705,1.0,18.797,1.0,87.587,1.0,0.333653897849,1.0,0.107,1.0,2.737,1.0,379.842,1.0,1.02973737225806,0.297454666757802,19.909,22.381,213.877,306.965,16.919,87.392,0.97,2.063,0.8039109999999999
11,200811,US-SRG,31.789379,-110.827675,GRA,Arid,0.181943,0.194149,0.491704,0.998611,10.4676,1.0,21.1319,1.0,15.425,1.0,174.887,1.0,284.344,1.0,12.721,1.0,87.559,1.0,0.319126509662,0.998611111111,0.525,1.0,2.586,0.998611,384.869,1.0,1.3010184,0.341556249694872,14.882,17.303,165.031,284.795,12.505,87.402,1.015,1.994,0.673647
