Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,US-Ton,38.4316,-120.96598,WSA,Temperate,1.83954,1.64858,-0.959314,0.0,103.47,0.0,102.869,0.0,7.898,0.0,107.446,1.0,277.863,0,3.993,0.0,99.526,0.0,,,0.0,1.0,2.268,0.0,,,0.779340333870968,0.259123613632183,7.898,10.183,104.296,277.863,3.993,99.526,2.903,2.268,0.880226
2,200102,US-Ton,38.4316,-120.96598,WSA,Temperate,1.87814,1.86606,-0.965594,0.0,102.145,0.0,102.025,0.0,8.502,0.0,132.298,1.0,294.475,0,3.703,0.0,99.193,0.0,,,2.34,1.0,2.748,0.0,,,0.789308255483871,0.206069042087142,8.502,10.288,116.831,294.475,3.703,99.193,4.024,2.748,0.912546
3,200103,US-Ton,38.4316,-120.96598,WSA,Temperate,2.24123,2.40089,-1.18839,0.0,73.4614,0.0,81.7451,0.0,13.172,0.0,210.284,1.0,299.535,0,5.912,0.0,99.202,0.0,,,1.45,1.0,1.925,0.0,,,0.658955995333333,0.196509694467195,13.172,15.397,204.02,299.535,5.912,99.202,2.03,1.925,1.0528399999999998
4,200104,US-Ton,38.4316,-120.96598,WSA,Temperate,2.26076,2.74157,-1.2535,0.0,65.8803,0.0,78.8194,0.0,12.498,0.00902778,257.099,1.0,292.916,0,6.409,0.00902778,99.224,0.0,,,1.219,1.0,1.881,0.0,,,0.620697638387097,0.205279408999853,12.386,14.385,253.595,292.916,6.163,99.224,2.058,1.881,1.0072599999999998
5,200105,US-Ton,38.4316,-120.96598,WSA,Temperate,3.89917,2.78365,-1.95505,0.339382,73.1879,0.37836,96.8231,0.379704,28.883,0.990591,326.575,1.0,317.735,0,31.399,0.990591,99.075,0.803763,0.267585215924,0.582661290323,0.0,1.0,2.067,0.600806,,,0.956463005,0.276879894570023,22.294,24.748,327.324,317.735,18.76,99.018,0.0,1.888,1.9441199999999998
6,200106,US-Ton,38.4316,-120.96598,WSA,Temperate,2.94106,3.50884,-1.53895,0.722222,46.586,0.823611,119.054,0.825,23.929,1.0,335.859,1.0,326.593,0,21.961,1.0,99.176,1.0,,,0.085,1.0,2.129,0.422917,373.493,0.830556,1.36178322580645,0.306936663181924,23.381,25.601,337.62,326.593,21.173,99.027,0.0,1.907,1.4021099999999997
7,200107,US-Ton,38.4316,-120.96598,WSA,Temperate,1.60178,2.18793,-0.491897,0.915323,25.1291,0.949597,146.679,0.950941,23.9,1.0,329.983,1.0,342.13,0,20.293,1.0,99.16,0.999328,0.317579981249,0.907258064516,0.008,1.0,2.078,0.907258,359.592,0.99328,2.13916671333333,0.382412516486104,24.098,26.35,322.8,342.13,19.889,98.986,0.005,1.608,1.109883
8,200108,US-Ton,38.4316,-120.96598,WSA,Temperate,0.709303,0.99361,0.202371,0.829301,10.943,0.909946,135.643,0.90793,24.471,1.0,309.068,1.0,336.613,0,21.178,1.0,99.198,1.0,0.30401437962,0.743279569892,0.0,1.0,1.91,0.759409,362.792,0.936828,1.8321895,0.299668039574477,24.094,26.76,302.473,336.613,19.709,99.056,0.0,1.412,0.911674
9,200109,US-Ton,38.4316,-120.96598,WSA,Temperate,0.839695,0.595015,0.171899,0.863194,8.11876,0.911806,103.47,0.916667,22.509,1.0,247.469,1.0,330.276,0,17.854,1.0,99.171,0.967361,,,0.305,1.0,1.601,0.523611,367.081,0.920139,1.27785977333333,0.247321004261592,22.065,24.915,244.828,330.276,16.829,98.916,0.196,1.322,1.0115939999999999
10,200110,US-Ton,38.4316,-120.96598,WSA,Temperate,0.639575,0.727791,0.416706,0.944892,9.4399,0.987231,65.2687,0.987903,19.548,1.0,175.627,1.0,315.858,0,14.628,1.0,99.43,0.998656,0.230080017258,0.817204301075,0.442,1.0,1.929,0.829973,370.29,0.987903,1.22389459032258,0.231900758208306,18.92,21.621,173.161,315.858,13.877,99.198,0.479,1.557,1.056281
