Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201301,US-Tw4,38.10298,-121.6414,WET,Temperate,0.151276,0.124029,2.55556,0.0,35.3466,0.0,19.8001,0.0,7.537,0.0,116.765,0.610887,299.349,0.0,3.407,0.0,102.355,0.0,,,0.295,0.0,2.81,0.0,,,0.284352051612903,0.172003113751981,7.537,9.777,116.884,299.349,3.407,102.355,0.295,2.81,2.706836
2,201302,US-Tw4,38.10298,-121.6414,WET,Temperate,0.614354,0.17781,2.54213,0.0,31.2523,0.0,17.5119,0.0,9.431,0.0,167.922,0.580357,299.317,0.0,4.482,0.0,102.161,0.0,,,0.35,0.0,3.187,0.0,,,0.310333259354839,0.16383125167129,9.431,11.824,168.415,299.317,4.482,102.161,0.35,3.187,3.156484
3,201303,US-Tw4,38.10298,-121.6414,WET,Temperate,1.61251,0.218892,2.53193,0.0,29.1842,0.0,16.3417,0.0,13.107,0.0,207.099,0.531586,329.167,0.0,5.578,0.0,101.908,0.0,,,0.719,0.0,2.97,0.0,,,0.199702114666667,0.142870937733593,13.107,15.166,207.488,329.167,5.578,101.908,0.719,2.97,4.14444
4,201304,US-Tw4,38.10298,-121.6414,WET,Temperate,2.65211,0.300009,2.54324,0.0,26.075,0.0,14.6058,0.0,16.389,0.0,284.795,0.477778,331.588,0.0,9.698,0.0,101.687,0.0,,,0.265,0.0,3.986,0.0,,,0.100000000258065,0.114410800656295,16.389,18.506,285.21,331.588,9.698,101.687,0.265,3.986,5.1953499999999995
5,201305,US-Tw4,38.10298,-121.6414,WET,Temperate,3.27335,0.335871,2.55556,0.0,26.411,0.0,14.7946,0.0,18.29,0.0,319.079,0.434812,343.189,0.0,11.468,0.0,101.56,0.0,,,0.163,0.0,3.543,0.0,,,0.431823409285714,0.254405995114053,18.29,20.38,319.461,343.189,11.468,101.56,0.163,3.543,5.8289100000000005
6,201306,US-Tw4,38.10298,-121.6414,WET,Temperate,4.19172,0.342778,2.54324,0.0,26.9002,0.0,15.0681,0.0,20.789,0.0,325.687,0.416667,363.069,0.0,12.766,0.0,101.248,0.0,,,0.158,0.0,3.401,0.0,,,0.682914016129032,0.358985097258834,20.789,22.839,325.797,363.069,12.766,101.248,0.158,3.401,6.73496
7,201307,US-Tw4,38.10298,-121.6414,WET,Temperate,4.58491,0.360625,2.54224,0.0,26.8042,0.0,15.019,0.0,21.847,0.0,342.763,0.428091,365.58,0.0,13.71,0.0,101.237,0.0,,,0.0,0.0,2.839,0.0,,,0.713351925333333,0.384492807761076,21.847,24.147,343.101,365.58,13.71,101.237,0.0,2.839,7.12715
8,201308,US-Tw4,38.10298,-121.6414,WET,Temperate,4.05864,0.326253,2.53193,0.0,26.0695,0.0,14.5977,0.0,20.469,0.0,309.827,0.457661,360.463,0.0,10.997,0.0,101.366,0.0,,,0.002,0.0,2.801,0.0,,,0.502548097096774,0.164648426206298,20.469,22.871,310.132,360.463,10.997,101.366,0.002,2.801,6.59057
9,201309,US-Tw4,38.10298,-121.6414,WET,Temperate,3.64076,0.258823,2.51871,0.0,27.1912,0.0,15.0995,0.0,19.282,0.0,245.243,0.508333,356.212,0.0,10.14,0.0,101.243,0.0,,,0.339,0.0,3.144,0.0,,,0.423357737333333,0.144656249383825,19.282,21.5,245.596,356.212,10.14,101.243,0.339,3.144,6.159470000000001
10,201310,US-Tw4,38.10298,-121.6414,WET,Temperate,2.51682,0.20431,2.47905,0.0,29.4786,0.0,16.2658,0.0,15.744,0.0,193.126,0.557796,323.365,0.0,9.288,0.0,101.568,0.0,,,0.008,0.0,2.832,0.0,,,0.703140916451613,0.200960589242969,15.744,18.309,193.341,323.365,9.288,101.568,0.008,2.832,4.99587
11,201311,US-Tw4,38.10298,-121.6414,WET,Temperate,1.47439,0.170131,2.39966,0.145833,35.8755,0.313194,19.5994,0.313194,12.169,0.33125,127.913,0.672917,317.41,0.313194,6.002,0.33125,101.835,0.179861,,,0.58,0.2,2.593,0.179861,,,0.77762739516129,0.292918672661563,12.917,15.05,128.032,322.23,6.663,101.832,0.577,2.773,3.87405
12,201312,US-Tw4,38.10298,-121.6414,WET,Temperate,-0.103767,0.158558,1.4885,0.791667,38.4849,0.997984,10.4672,0.997984,6.397,1.0,113.489,0.984543,288.505,1.0,3.87,1.0,102.256,0.999328,0.139496639785,1.0,0.406,1.0,1.939,1.0,433.555,1.0,0.505948540666667,0.238173848382945,7.746,10.349,114.234,291.53,4.96,102.214,0.284,3.035,1.384733
13,201401,US-Tw4,38.10298,-121.6414,WET,Temperate,0.0176883,0.0515518,1.03026,0.797043,33.7886,1.0,16.085,1.0,9.63,1.0,119.47,1.0,308.627,1.0,4.81,1.0,102.209,1.0,0.122704301075,1.0,0.071,1.0,1.727,1.0,425.856,1.0,0.099999999516129,0.119254077813597,10.985,13.463,116.214,311.182,6.988,102.195,0.338,2.78,1.0479483
14,201402,US-Tw4,38.10298,-121.6414,WET,Temperate,0.264455,0.118145,1.38669,0.947917,56.1751,0.998512,5.33587,0.998512,11.816,1.0,127.169,1.0,328.224,1.0,3.988,1.0,101.804,1.0,0.174878720238,1.0,4.082,1.0,3.281,1.0,406.127,1.0,0.672370952580645,0.268300055108975,11.028,12.691,120.465,334.866,3.336,101.808,3.986,3.5,1.651145
