Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,US-UMB,45.5598,-84.7138,DBF,Continental,-0.0390044,0.0244752,0.44015,0.990591,,0.946237,,0.998656,-7.335,1.0,56.956,1.0,248.365,0.0,0.804,1.0,98.89,0.986559,0.511738088045,0.866935483871,0.445,1.0,3.864,0.901882,375.629,0.997312,,,-6.396,-5.911,52.672,248.365,0.915,98.882,1.713,4.181,0.4011456
2,200002,US-UMB,45.5598,-84.7138,DBF,Continental,-0.0252267,0.0475217,0.576882,0.928161,,0.981322,,0.997126,-3.081,1.0,86.001,1.0,261.415,0.0,1.264,1.0,98.882,1.0,0.473256770833,0.80316091954,0.255,1.0,3.827,0.849138,377.907,1.0,,0.290774971803465,-2.339,-1.871,90.658,261.415,1.429,98.903,1.17,4.014,0.5516553
3,200003,US-UMB,45.5598,-84.7138,DBF,Continental,0.180719,0.124941,0.705005,0.959677,,0.969086,,1.0,2.261,1.0,139.204,1.0,273.092,0.0,2.583,1.0,98.72,1.0,0.554095145456,0.875,0.742,1.0,3.924,0.909946,376.99,1.0,,0.160952943521482,1.902,2.665,152.214,273.092,2.371,98.733,1.039,3.54,0.885724
4,200004,US-UMB,45.5598,-84.7138,DBF,Continental,0.513953,0.426433,0.802539,0.963889,,0.977778,,1.0,4.969,1.0,195.449,1.0,282.638,0.0,4.539,1.0,98.738,1.0,0.517097608696,0.905555555556,1.05,1.0,3.673,0.933333,375.298,1.0,,,4.016,4.725,200.598,282.638,3.229,98.736,1.18,3.304,1.316492
5,200005,US-UMB,45.5598,-84.7138,DBF,Continental,3.96929,3.08132,0.0670374,0.981183,,0.989247,,1.0,12.636,1.0,239.139,1.0,322.225,0.0,5.383,1.0,98.321,1.0,0.527047645626,0.924731182796,1.573,0.94086,3.49,0.924731,373.935,1.0,,0.175453384026498,10.417,11.028,241.052,322.225,4.086,98.342,2.023,3.237,4.0363274
6,200006,US-UMB,45.5598,-84.7138,DBF,Continental,8.87999,8.9586,-3.96043,0.990278,,0.997222,,0.998611,15.845,1.0,240.55,1.0,344.332,0.0,5.608,1.0,98.52,0.973611,0.52846046765,0.879166666667,1.841,0.906944,3.587,0.911111,366.536,1.0,,0.185424813751181,14.691,15.078,251.967,344.332,5.46,98.538,2.359,3.39,4.919559999999999
7,200007,US-UMB,45.5598,-84.7138,DBF,Continental,8.64197,9.08592,-4.05226,0.952957,,0.994624,,0.998656,18.522,1.0,252.232,1.0,344.425,0.0,7.086,1.0,98.717,1.0,0.430245117415,0.981182795699,0.671,1.0,3.087,0.981183,359.795,1.0,,0.189819886803335,17.923,18.629,246.331,344.425,6.079,98.714,1.317,2.852,4.58971
8,200008,US-UMB,45.5598,-84.7138,DBF,Continental,7.94017,7.88418,-2.76375,0.926075,,0.990591,,1.0,18.303,1.0,211.6,0.99328,345.492,0.0,5.995,1.0,98.828,1.0,0.379644535303,0.956989247312,11.441,0.966398,2.923,0.956989,359.658,1.0,,0.389363673902004,18.769,19.461,214.169,345.492,5.42,98.82,1.837,2.568,5.17642
9,200009,US-UMB,45.5598,-84.7138,DBF,Continental,5.28634,4.93369,-1.25214,0.970833,,0.994444,,0.998611,14.111,1.0,160.066,1.0,322.859,0.0,5.044,1.0,98.712,1.0,0.536734375438,0.897222222222,1.26,1.0,3.913,0.920833,363.455,1.0,,0.644656187992291,15.57,16.181,166.66,322.859,5.98,98.71,1.077,3.972,4.0342
10,200010,US-UMB,45.5598,-84.7138,DBF,Continental,1.25945,1.14662,1.20689,0.979839,,0.979839,,0.997312,9.964,1.0,106.248,0.990591,300.399,0.0,4.046,1.0,99.201,1.0,0.456639440074,0.879032258065,0.626,1.0,3.426,0.897849,373.672,1.0,,0.652814893958063,10.587,11.33,112.51,300.399,3.949,99.215,0.99,3.437,2.4663399999999998
