Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,US-Wi4,46.739333,-91.16625,ENF,Continental,4.41653,2.24139,-3.97334,0.0,,0.0,,0.0,-6.558,0.0,56.917,0.652554,232.431,0,0.855,0.0,96.12,0.0,,,0.411,0.0,1.908,0.0,,,1.35020802258065,0.517057209772352,-6.558,-5.501,57.073,232.431,0.855,96.12,0.411,1.908,0.44319
2,200202,US-Wi4,46.739333,-91.16625,ENF,Continental,4.53523,2.72663,-4.00859,0.0,,0.0,,0.0,-4.285,0.0,89.891,0.598958,235.369,0,1.278,0.0,96.397,0.0,,,1.31,0.0,2.455,0.0,,,1.31355877741935,0.33174700066692,-4.285,-3.15,90.112,235.369,1.278,96.397,1.31,2.455,0.5266400000000004
3,200203,US-Wi4,46.739333,-91.16625,ENF,Continental,4.68452,3.55787,-4.27176,0.0,,0.0,,0.0,-6.161,0.0,157.674,0.534274,216.878,0,1.498,0.0,96.626,0.0,,,1.829,0.0,2.181,0.0,,,0.982305126666667,0.322951134643404,-6.161,-4.507,157.996,216.878,1.498,96.626,1.829,2.181,0.41276000000000046
4,200204,US-Wi4,46.739333,-91.16625,ENF,Continental,5.52916,4.01523,-4.18875,0.00625,,0.00625,,0.00625,4.014,0.00625,190.517,0.464583,278.941,0,2.899,0.00625,96.395,0.0,,,3.022,0.0,2.104,0.0,,,0.834707812580645,0.385834558729678,4.001,5.568,190.668,278.941,2.877,96.395,3.022,2.104,1.3404100000000003
5,200205,US-Wi4,46.739333,-91.16625,ENF,Continental,5.36894,4.83596,-3.90042,0.859543,73.5363,0.862231,104.871,0.862231,9.149,0.862903,253.918,0.87164,296.521,0,5.688,0.862903,96.367,0.772177,0.560160623268,0.75,3.117,0.783602,2.317,0.758065,372.927,0.862903,1.03594806821429,0.46828126600388,8.919,10.208,243.394,296.521,4.82,96.408,2.309,2.162,1.4685200000000003
6,200206,US-Wi4,46.739333,-91.16625,ENF,Continental,7.69734,6.55008,-4.42066,0.997917,109.204,0.999306,73.762,1.0,17.424,1.0,232.652,1.0,364.282,0,7.091,1.0,96.258,1.0,0.462944792624,0.983333333333,2.91,1.0,2.047,0.953472,353.266,1.0,0.784878461935484,0.378979625810235,18.438,19.546,245.578,364.282,7.942,96.208,2.453,2.008,3.27668
7,200207,US-Wi4,46.739333,-91.16625,ENF,Continental,8.82846,7.27712,-5.49099,0.961022,119.689,1.0,97.7511,0.999328,21.921,1.0,272.322,1.0,376.077,0,8.944,1.0,96.487,0.999328,0.449114916365,0.991935483871,3.532,1.0,1.909,0.991263,344.968,1.0,1.072503574,0.327362903044606,21.501,22.676,252.275,376.077,8.88,96.404,3.911,1.656,3.3374699999999997
8,200208,US-Wi4,46.739333,-91.16625,ENF,Continental,8.60264,7.84685,-5.47727,0.999328,121.19,0.999328,55.8136,1.0,18.545,1.0,226.918,1.0,354.501,0,5.413,1.0,96.563,0.997984,0.466989725948,0.965725806452,2.8,0.997984,2.008,0.953629,341.139,1.0,1.52496441612903,0.329178397147534,18.635,19.789,211.996,354.501,6.739,96.516,4.03,1.879,3.1253699999999993
9,200209,US-Wi4,46.739333,-91.16625,ENF,Continental,6.79223,5.7805,-4.19662,0.959722,108.991,0.966667,11.8495,0.966667,15.322,0.966667,162.981,0.969444,339.243,0,4.755,0.966667,96.272,0.934722,0.453196863331,0.916666666667,2.89,0.935417,2.007,0.921528,350.684,0.965972,3.17216124666667,0.453647327878656,15.577,16.812,150.576,339.243,5.426,96.258,3.382,1.982,2.5956099999999998
10,200210,US-Wi4,46.739333,-91.16625,ENF,Continental,2.8278,2.90913,-1.95016,0.700269,45.4632,0.702285,8.58904,0.702285,3.353,0.701613,84.546,0.762769,276.247,0,2.03,0.701613,96.632,0.444892,,,2.325,0.445565,1.872,0.438844,361.528,0.701613,5.25464225483871,0.521927600750842,3.063,4.014,90.475,276.247,2.146,96.677,2.418,1.862,0.87764
11,200211,US-Wi4,46.739333,-91.16625,ENF,Continental,1.92103,2.0837,-1.74108,0.727778,,0.752083,,0.750694,-1.47,0.751389,65.301,0.636111,243.886,0,1.44,0.751389,96.161,0.4,,,0.383,0.401389,2.0,0.4,362.906,0.751389,4.65978134193548,0.478464271421777,-1.899,-0.723,65.465,243.886,1.52,96.218,0.483,1.977,0.17995000000000005
12,200212,US-Wi4,46.739333,-91.16625,ENF,Continental,2.1283,1.57049,-2.12829,0.0282258,,0.037634,,0.037634,-5.288,0.0369624,45.892,0.666667,231.76,0,0.956,0.0369624,96.157,0.0,,,0.59,0.0,2.266,0.0,361.159,0.0369624,3.84757598333333,0.421218186908062,-5.375,-4.256,45.951,231.76,0.967,96.157,0.59,2.266,1.0000000000065512e-05
13,200301,US-Wi4,46.739333,-91.16625,ENF,Continental,3.23864,3.49161,-2.11889,0.0,,0.0,,0.0,-11.26,0.0,63.426,0.652554,195.706,0,0.836,0.0,96.664,0.0,,,0.045,1.0,2.194,0.0,361.226,0.0,0.90047286516129,0.320075381568982,-11.26,-10.165,63.61,195.706,0.836,96.664,0.314,2.194,1.1197500000000002
14,200302,US-Wi4,46.739333,-91.16625,ENF,Continental,3.77778,4.9065,-2.66334,0.0,,0.0,,0.0,-11.21,0.0,106.363,0.598958,199.253,0,0.885,0.0,96.424,0.0,,,0.05,1.0,2.178,0.0,361.09,0.0,1.33121701935484,0.347160772085067,-11.21,-9.713,106.641,199.253,0.885,96.424,0.364,2.178,1.11444
15,200303,US-Wi4,46.739333,-91.16625,ENF,Continental,4.75835,6.09333,-3.09997,0.0,,0.0,,0.0,-3.988,0.0,145.859,0.534274,240.239,0,1.606,0.0,96.11,0.0,,,1.116,1.0,2.083,0.0,361.129,0.0,0.981828965,0.362154267283546,-3.988,-2.206,146.176,240.239,1.606,96.11,1.457,2.083,1.6583800000000002
16,200304,US-Wi4,46.739333,-91.16625,ENF,Continental,5.25458,7.33114,-2.96658,0.0,,0.0,,0.0,3.675,0.0,200.507,0.464583,271.786,0,3.37,0.0,96.5,0.0,,,1.907,1.0,2.298,0.0,360.851,0.0,0.977830919032258,0.417890270515111,3.675,5.36,200.686,271.786,3.37,96.5,2.762,2.298,2.288
17,200305,US-Wi4,46.739333,-91.16625,ENF,Continental,6.15461,6.97617,-3.14064,0.232527,,0.295699,,0.295699,11.462,0.353495,219.999,0.537634,305.98,0,6.665,0.353495,96.407,0.172043,,,4.953,0.802419,1.982,0.168683,360.207,0.353495,0.553654522142857,0.369226246654589,10.944,12.506,229.369,305.98,5.34,96.408,2.939,1.962,3.01397
18,200306,US-Wi4,46.739333,-91.16625,ENF,Continental,9.09013,9.50457,-5.67273,0.69375,120.115,0.792361,95.8631,0.792361,17.21,0.792361,232.656,0.815278,350.235,0,7.384,0.792361,96.217,0.524306,,,1.663,0.508333,1.727,0.516667,353.498,0.788889,0.784056989677419,0.355289451789825,16.522,17.783,246.091,350.235,6.589,96.2,2.164,1.659,3.4174000000000007
19,200307,US-Wi4,46.739333,-91.16625,ENF,Continental,10.9045,11.3631,-6.38005,0.751344,163.1,0.861559,83.5542,0.862231,19.806,0.862231,264.138,0.87836,367.361,0,7.674,0.862231,96.245,0.59543,0.422304252875,0.51747311828,1.749,0.236559,1.814,0.588038,346.075,0.862231,1.16595259666667,0.330981450602065,19.821,20.993,253.084,367.361,8.618,96.225,2.011,1.76,4.524450000000001
20,200308,US-Wi4,46.739333,-91.16625,ENF,Continental,8.15238,8.97404,-4.11928,0.814516,77.5056,0.894489,118.348,0.894489,21.11,0.894489,224.955,0.905242,359.852,0,8.143,0.894489,96.609,0.653898,0.403731513384,0.57997311828,0.716,0.653898,1.717,0.645161,346.102,0.893145,1.43093940645161,0.342797769309233,20.24,21.576,221.8,359.852,8.057,96.578,1.261,1.65,4.033100000000001
21,200309,US-Wi4,46.739333,-91.16625,ENF,Continental,5.15516,4.2682,-1.95683,0.125694,60.8776,0.175694,91.2991,0.175694,15.381,0.675694,156.87,0.707639,332.366,0,6.578,0.675694,96.257,0.28125,,,2.133,0.28125,2.306,0.280556,349.702,0.675694,4.46234483333333,0.48702645213778,14.642,15.745,152.362,332.366,6.17,96.255,2.29,2.223,3.1983300000000003
22,200310,US-Wi4,46.739333,-91.16625,ENF,Continental,4.30019,4.49308,-2.03617,0.50672,,0.606855,,0.606855,8.849,0.614919,102.501,0.649866,293.652,0,4.625,0.614919,96.131,0.116263,,,1.431,0.116935,2.035,0.110215,354.887,0.613575,5.06551550645161,0.517675794737835,7.215,8.346,102.562,293.652,3.204,96.14,1.432,2.059,2.26402
23,200311,US-Wi4,46.739333,-91.16625,ENF,Continental,1.75774,3.42391,-1.12272,0.0861111,,0.134028,,0.134028,0.821,0.607639,55.321,0.649306,253.525,0,1.418,0.607639,96.301,0.0,,,1.546,0.0319444,2.407,0.0319444,372.313,0.134028,4.69183708387097,0.467430535874923,-1.444,-0.34,55.905,253.525,1.488,96.301,1.546,2.411,0.6350200000000001
24,200312,US-Wi4,46.739333,-91.16625,ENF,Continental,1.45871,3.05077,-1.45405,0.353495,,0.384409,,0.385753,-5.061,0.546371,45.623,0.669355,240.307,0,1.058,0.546371,96.338,0.127688,,,0.506,0.757392,2.046,0.133737,378.237,0.540323,2.67994598,0.406092020129344,-4.415,-3.512,45.687,240.307,1.078,96.363,0.63,2.059,0.0046599999999998865
25,200401,US-Wi4,46.739333,-91.16625,ENF,Continental,1.74482,2.08203,-1.52162,0.0,,0.0,,0.0,-13.176,0.137769,55.458,0.652554,202.483,0,0.742,0.137769,96.713,0.0,,,0.948,0.0,1.978,0.0,374.451,0.137769,0.730031649032258,0.459083348417828,-13.279,-12.335,55.637,202.483,0.745,96.713,0.948,1.978,0.22320000000000007
26,200402,US-Wi4,46.739333,-91.16625,ENF,Continental,2.48902,2.80787,-1.92744,0.0,,0.0,,0.0,-5.698,0.0,94.891,0.597701,234.203,0,1.361,0.0,96.739,0.0,,,1.024,0.0,1.95,0.0,373.355,0.0,1.31963209032258,0.341463266218259,-5.698,-4.212,95.107,234.203,1.361,96.739,1.024,1.95,0.56158
27,200403,US-Wi4,46.739333,-91.16625,ENF,Continental,3.47903,3.50983,-2.595,0.0,,0.020161,,0.020161,-0.791,0.0,136.699,0.532258,255.698,0,1.81,0.0,96.476,0.0,,,1.277,0.658602,2.189,0.0,367.513,0.0,1.033686893,0.316301526269427,-0.791,0.943,136.963,255.698,1.81,96.476,1.703,2.189,0.8840299999999996
28,200404,US-Wi4,46.739333,-91.16625,ENF,Continental,4.10682,4.41382,-2.7459,0.0909722,,0.877778,,0.877778,4.834,0.0916667,202.751,0.461806,274.305,0,3.604,0.0916667,96.373,0.000694444,0.489099178353,0.767361111111,3.31,1.0,1.881,0.000694444,367.105,0.0916667,0.820045829333333,0.402530354265742,5.057,6.719,202.911,274.305,3.59,96.373,1.963,1.882,1.3609200000000001
29,200405,US-Wi4,46.739333,-91.16625,ENF,Continental,4.04887,4.43796,-3.64857,0.702957,,0.760753,,0.772177,9.158,1.0,213.687,0.616935,311.251,0,4.437,1.0,96.166,1.0,0.477548406293,0.527553763441,3.361,1.0,2.175,0.965054,369.953,0.974462,0.20078853,0.401635132325216,10.252,11.453,226.501,311.251,4.535,96.179,4.21,2.154,0.4003000000000001
30,200406,US-Wi4,46.739333,-91.16625,ENF,Continental,8.85121,7.04676,-6.29449,0.99375,,1.0,,1.0,15.386,1.0,259.016,1.0,339.222,0,7.378,1.0,96.288,1.0,0.557538714021,0.957638888889,1.283,0.998611,2.175,0.988889,360.497,1.0,0.669296777741936,0.341582635806134,15.233,16.317,246.455,339.222,6.561,96.295,1.828,2.184,2.5567200000000003
31,200407,US-Wi4,46.739333,-91.16625,ENF,Continental,8.25946,7.84299,-5.95866,0.968414,,1.0,,1.0,18.081,1.0,260.954,1.0,357.264,0,7.049,1.0,96.341,0.740591,0.405410970312,0.979838709677,0.906,1.0,1.718,0.735887,351.232,0.983871,0.976323158666667,0.3051990942405,18.289,19.538,238.638,357.264,7.051,96.322,1.964,1.602,2.3008000000000006
