Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-Wkg,31.7365,-109.9419,GRA,Arid,1.5736,0.478597,-1.16601,0.0,38.5989,0.0,82.5701,0.0,9.364,0.0,142.031,0.0,272.615,0.0,7.517,0.0,85.039,0.0,,,0.701,0.0,2.985,0.0,,,0.100000000064516,0.0829980988100407,9.364,11.331,142.031,272.615,7.517,85.039,0.701,2.985,0.4075900000000001
2,200402,US-Wkg,31.7365,-109.9419,GRA,Arid,1.55696,0.572573,-1.15875,0.0,37.9542,0.0,80.9589,0.0,8.916,0.0,194.47,0.0,255.182,0.0,8.498,0.0,84.895,0.0,,,0.863,0.0,3.589,0.0,,,0.300000010967742,0.150045398813987,8.916,11.089,194.47,255.182,8.498,84.895,0.863,3.589,0.39820999999999995
3,200403,US-Wkg,31.7365,-109.9419,GRA,Arid,1.69591,0.646728,-1.16601,0.0,34.7992,0.0,74.4418,0.0,15.199,0.0,240.996,0.0,294.276,0.0,12.345,0.0,85.066,0.0,,,0.889,0.0,3.608,0.0,,,0.200000001666667,0.115271732300689,15.199,17.447,240.996,294.276,12.345,85.066,0.889,3.608,0.5299
4,200404,US-Wkg,31.7365,-109.9419,GRA,Arid,1.70658,0.743854,-1.1625,0.0,36.6118,0.0,78.2114,0.0,15.916,0.0,295.96,0.0,290.198,0.0,13.352,0.0,84.869,0.0,,,0.806,0.0,4.393,0.0,,,0.100000000933333,0.0935879432382174,15.916,17.966,295.96,290.198,13.352,84.869,0.806,4.393,0.5440799999999999
5,200405,US-Wkg,31.7365,-109.9419,GRA,Arid,1.1637,0.751257,-0.605446,0.784274,25.5611,0.831317,93.808,0.831317,21.732,0.831317,328.883,0.832661,309.186,0.831317,22.664,0.831317,84.917,0.823253,0.252375416667,0.823252688172,0.025,0.823253,4.021,0.823253,363.374,0.831317,0.108032607862069,0.0817466338187367,21.081,23.255,345.118,302.107,20.745,84.931,0.042,4.115,0.5582539999999999
6,200406,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.00245687,0.103227,0.333725,0.970833,18.1511,0.999306,109.793,1.0,25.159,1.0,342.447,1.0,333.139,1.0,27.315,1.0,84.974,1.0,0.252586111111,1.0,0.377,1.0,4.16,1.0,352.77,1.0,0.192245336451613,0.090487673437716,24.168,26.173,347.767,325.801,24.953,84.999,0.192,3.495,0.33126813
7,200407,US-Wkg,31.7365,-109.9419,GRA,Arid,0.336671,0.419678,0.682388,0.948253,41.3242,0.989247,84.1596,0.999328,24.995,1.0,285.271,1.0,364.146,1.0,21.05,1.0,85.132,1.0,0.259718413978,1.0,1.451,1.0,3.915,1.0,358.113,0.990591,0.287695095333333,0.127416746528609,24.788,26.363,303.487,356.492,21.734,85.132,0.905,2.936,1.019059
8,200408,US-Wkg,31.7365,-109.9419,GRA,Arid,1.38965,1.53101,-0.0954904,0.91129,54.1981,0.997984,57.7021,1.0,23.578,1.0,248.663,1.0,361.056,1.0,17.395,1.0,85.222,0.999328,0.215248655914,0.999327956989,1.549,1.0,3.173,0.999328,358.135,0.998656,0.300000011935484,0.13696375290476,23.92,25.577,279.606,355.011,19.451,85.198,1.114,2.376,1.2941596
9,200409,US-Wkg,31.7365,-109.9419,GRA,Arid,0.468806,0.301639,0.332308,0.961806,29.5106,0.988194,70.6445,0.991667,21.966,1.0,257.053,1.0,336.803,1.0,17.586,1.0,85.01,1.0,0.233563771108,0.990277777778,1.765,1.0,4.017,0.990278,359.25,0.997222,0.276180825666667,0.119965628051256,21.548,23.502,243.674,339.4,16.731,85.021,1.209,3.258,0.801114
10,200410,US-Wkg,31.7365,-109.9419,GRA,Arid,0.8452,0.93827,-0.332777,0.989247,20.0198,1.0,52.238,1.0,17.357,1.0,218.592,1.0,307.154,1.0,13.176,1.0,84.878,1.0,0.239227822581,1.0,0.147,1.0,3.977,1.0,354.981,1.0,0.275608850645161,0.127836309082466,17.638,19.681,203.602,311.489,13.545,84.907,1.142,3.965,0.512423
11,200411,US-Wkg,31.7365,-109.9419,GRA,Arid,0.00597668,0.0414232,0.154652,0.98125,11.2029,0.995139,35.4504,0.998611,9.736,1.0,164.042,1.0,275.169,1.0,7.282,1.0,84.985,1.0,0.231681944444,1.0,0.398,1.0,4.096,1.0,365.024,0.995833,0.465351192258065,0.170806353294541,10.784,12.784,157.615,270.485,8.229,85.055,0.65,3.617,0.16062868000000002
12,200412,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.00513476,0.0,0.182011,0.980511,10.0352,1.0,25.22,1.0,8.503,1.0,148.388,1.0,266.155,1.0,6.721,1.0,85.093,1.0,0.223229166667,1.0,0.537,1.0,4.048,1.0,365.576,1.0,0.356195068666667,0.139526928560373,8.825,11.064,138.388,258.62,7.686,85.178,0.625,3.642,0.17687624000000002
13,200501,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.0434261,0.225509,0.0628795,0.99328,16.6592,0.999328,27.5578,0.999328,9.567,1.0,149.232,1.0,278.911,1.0,6.157,1.0,85.037,1.0,0.268333437415,0.995967741935,0.835,1.0,3.405,0.999328,371.953,0.999328,0.100000001419355,0.084764606588964,9.709,11.671,137.988,279.438,6.955,85.146,1.884,3.463,0.019453400000000003
14,200502,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.00920646,0.255121,0.111725,0.997024,22.3684,0.999256,41.1119,1.0,8.635,1.0,162.681,1.0,290.056,1.0,4.451,1.0,84.855,0.994792,0.28557725271,0.979910714286,0.997,1.0,3.756,0.988095,372.818,1.0,0.216803068064516,0.110785349981721,10.319,11.899,150.896,291.701,6.764,84.968,1.714,3.581,0.10251854
15,200503,US-Wkg,31.7365,-109.9419,GRA,Arid,0.47505,0.556314,-0.157913,0.990591,12.5863,0.998656,67.6205,0.999328,11.243,1.0,264.187,1.0,246.898,1.0,9.179,1.0,84.869,0.999328,0.270225248799,0.999327956989,0.045,1.0,4.195,0.999328,376.197,0.998656,0.168184387666667,0.100842440163784,12.555,14.699,259.191,270.198,10.507,84.857,0.317,4.074,0.317137
16,200504,US-Wkg,31.7365,-109.9419,GRA,Arid,0.667888,0.656879,-0.25427,0.990278,16.6634,1.0,82.1991,1.0,16.201,1.0,320.91,1.0,256.248,1.0,15.516,1.0,84.99,1.0,0.292098611111,1.0,0.097,1.0,4.58,1.0,377.334,1.0,0.100000000258065,0.0970712810920464,16.647,19.034,319.385,279.071,15.567,84.88,0.161,4.334,0.41361800000000004
17,200505,US-Wkg,31.7365,-109.9419,GRA,Arid,0.0948536,0.294286,0.185926,0.975806,13.872,0.999328,85.6739,1.0,21.434,1.0,323.524,1.0,294.845,1.0,20.95,1.0,84.936,1.0,0.236506048387,1.0,0.242,1.0,3.603,1.0,377.844,1.0,0.102767317785714,0.0853962059564645,21.272,23.318,336.428,313.615,20.555,84.824,0.074,3.528,0.2807796
18,200506,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.0988384,0.0210793,0.361296,0.981944,8.10666,0.999306,97.1879,1.0,25.548,1.0,343.589,1.0,311.792,0.998611,27.749,1.0,84.914,0.998611,0.274718870773,0.998611111111,0.017,1.0,3.91,0.998611,372.909,1.0,0.200000002258065,0.100327842421,24.687,26.656,348.814,335.132,25.769,84.79,0.071,3.671,0.2624576
19,200507,US-Wkg,31.7365,-109.9419,GRA,Arid,-0.126885,0.315586,0.76977,0.960349,18.8336,0.997984,81.6623,1.0,27.247,1.0,311.699,1.0,356.005,0.354839,26.238,1.0,85.223,1.0,0.271474462366,1.0,0.966,1.0,3.861,1.0,369.23,1.0,0.246517157666667,0.110376336483036,26.393,27.987,309.415,363.387,25.423,85.097,1.055,3.241,0.6428849999999999
20,200508,US-Wkg,31.7365,-109.9419,GRA,Arid,0.855254,1.23659,0.0635769,0.969086,40.3189,0.994624,54.7443,1.0,23.322,1.0,264.033,1.0,367.525,0.0,13.963,1.0,85.278,1.0,0.226732526882,1.0,1.668,1.0,3.055,1.0,365.959,0.99664,0.215286944193548,0.108596980712238,22.486,23.86,257.506,367.525,13.535,85.134,2.632,2.208,0.9188309
