TIMESTAMP_START,H_CORR,LE_CORR,H_F_MDS_QC,LE_F_MDS_QC,G_F_MDS,G_F_MDS_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,NETRAD,USTAR,RH,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SWC,CO2_F_MDS,CO2_F_MDS_QC,SW_IN_POT,Es,Delta,r,Density,L,ksi,Ra,Ga,Rs,Gs,VPD_leaf,lai
2014-06-06 16:00:00,288.596,147.266,1,1,33.473,0.0,22.1485,13.8934,-16.4832,1,22.5,0,610.0,0,1.7448,0,95.2,0,0.0,0,2.461,0,485.0,0.47375,0.36,34.1,0,21.519000000000002,3,34.1,385.44199999999995,0,844.3330000000003,2.685426689022864,0.1630448033931427,0.0632751821267103,1.1174580583667588,-30.657522570657672,-0.6977835808714236,19.871689723380552,0.0503228469204319,309.30780477583284,3.2330254347275145,2.5486783462376152,3.0
2014-06-06 16:00:30,223.78099999999998,134.04399999999998,1,1,7.725,0.0,20.9879,13.4823,-15.4204,1,22.7,0,526.0,0,1.7662,0,95.2,0,0.0,0,1.9340000000000002,0,420.0,0.50781,0.36,34.1,0,21.518,3,34.1,385.871,0,756.2230000000003,2.7182104238509353,0.1647814543926203,0.0632873850948727,1.1166501043630097,-48.69000297713378,-0.4393574568078471,25.28657104924484,0.0395466826266214,350.4405330412294,2.8535511897602035,2.6307600605264234,3.0
2014-06-06 17:00:00,178.454,129.507,1,1,44.738,0.0,21.0628,13.0161,-15.362,1,22.9,0,451.0,0,1.7876999999999998,0,95.2,0,0.0,0,1.8840000000000001,0,360.0,0.54598,0.36,34.1,0,21.517,3,34.1,386.602,0,661.922,2.751343060423144,0.1665336937295624,0.0632995927707626,1.115842683309545,-75.88265735277103,-0.2819131093492051,25.95765839131609,0.0385242761471327,341.84007328022665,2.9253445636265134,2.4816106801610682,3.0
2014-06-06 17:00:30,124.852,103.876,1,1,9.334,0.0,17.4984,12.3646,-11.3813,1,22.9,0,371.0,0,1.7876999999999998,0,95.2,0,0.0,0,1.581,0,291.0,0.54106,0.36,34.1,0,21.516,3,34.1,386.534,0,563.045,2.751343060423144,0.1665336937295624,0.0632995927707626,1.115842683309545,-105.55514251055716,-0.2026648382181894,30.932465786995284,0.0323284928814314,422.68289166938126,2.365839781332316,2.461202349845565,3.0
2014-06-06 18:00:00,87.6912,99.5186,1,1,13.196,0.0,15.8422,11.5479,-9.517489999999999,1,23.1,0,298.0,0,1.8094,0,95.2,0,0.0,0,1.442,0,231.0,0.4349,0.36,34.1,0,21.516,3,34.1,386.83099999999996,0,461.281,2.7848277276424533,0.1683016325450914,0.0633118051571047,1.1150357891200524,-78.0422812992213,-0.27411187274216,33.914166719306195,0.029486202868453,409.24708929873015,2.4435115756438512,2.2851001240587494,3.0
2014-06-06 18:00:30,,,2,2,3.862,0.0,,,,2,23.1,0,221.5,1,1.8094,0,95.2,0,0.0,0,1.624,0,159.0,0.426,0.36,34.1,0,21.515,3,34.1,387.189,0,358.374,2.7848277276424533,0.1683016325450914,0.0633118051571047,1.1150357891200524,,,30.11344113869429,0.0332077624537917,,,,3.0
2014-06-06 19:00:00,22.3195,43.9924,1,1,7.725,0.0,10.4064,8.45225,-3.4182699999999997,1,23.0,0,142.0,0,1.7704,0,95.2,0,0.0,0,1.4140000000000001,0,90.0,0.32579,0.37,34.1,0,21.515,3,34.1,387.14599999999996,0,256.08299999999997,2.7680411937762868,0.1674156937346181,0.0633056983749567,1.1153160885917075,-128.886987142358,-0.165977313569847,34.585734377114235,0.0289136552399393,778.5804950093138,1.284388713061759,1.9210802171929475,3.0
2014-06-06 19:00:30,-4.56059,22.2436,1,1,31.541999999999998,0.0,5.47368,5.82218,0.220599,1,22.8,0,75.0,0,1.7214000000000005,0,95.2,0,0.0,0,0.77,0,28.0,0.17411,0.38,34.1,0,21.515,3,34.1,387.54699999999997,0,156.159,2.7347329343835827,0.165655618585522,0.0632934883441815,1.1160029610836717,96.27297383830816,0.22220478943476601,63.51198494706432,0.0157450597841253,1360.4100626796564,0.7350724810357976,1.6958525347822813,3.0
2014-06-06 20:00:00,-32.6044,8.57607,1,1,13.196,0.0,,,,2,22.5,0,20.0,0,1.6631,0,95.2,0,0.0,0,1.021,0,-41.0,0.14034000000000002,0.39,34.1,0,21.515,3,34.1,387.27,0,60.3121,2.685426689022864,0.1630448033931427,0.0632751821267103,1.1170992265690785,7.051936915629032,3.0335376132745533,47.89836279063618,0.0208775403111584,2703.353964366804,0.3699108637570612,1.2976344634660637,3.0
2014-06-06 20:00:30,-27.1313,3.76813,1,1,-5.472,0.0,0.48965699999999995,0.331933,5.73536,1,22.1,0,2.82,0,1.5699,0,95.2,0,0.0,0,1.445,0,-63.0,0.1666099999999999,0.41,34.1,0,21.517,3,34.1,386.959,0,1.11176,2.620893519747145,0.1596178245973567,0.0632507903026792,1.1184911174571617,14.178347470986113,1.5088017784707426,33.84375668459483,0.0295475472572223,5908.595499213028,0.1692449584902521,1.2441222041205156,3.0
2014-06-06 21:00:00,-27.0865,3.7839099999999997,1,1,-5.472,0.0,0.455063,,5.73536,1,21.7,0,0.0,0,1.4800999999999995,0,95.3,0,0.0,0,1.9969999999999999,0,-62.0,0.15453,0.43,34.1,0,21.517,3,34.1,387.19800000000004,0,0.0,2.557718962871274,0.1562518792183551,0.0632928315807753,1.1210772249846002,11.34208153117182,1.886101402216761,24.48884747583352,0.0408349147907771,5935.987817470021,0.1684639576006088,1.2530611990422242,3.0
2014-06-06 21:00:30,-26.8834,3.69544,1,1,44.738,0.0,0.411437,,5.73536,1,21.2,0,0.0,0,1.3851,0,95.3,0,0.0,0,2.568,0,-61.0,0.16729000000000002,0.45,34.1,0,21.517,3,34.1,388.389,0,0.0,2.480624420006451,0.1521289521557031,0.0632623597258734,1.1229079059695202,14.497880285068414,1.4755478359158665,19.043702651573025,0.0525107967865376,5912.008487663145,0.1691472537779242,1.2162474410799171,3.0
2014-06-06 22:00:00,-26.8241,3.69544,1,1,-5.472,0.0,0.385277,,5.73536,1,20.9,0,0.0,0,1.3351,0,95.3,0,0.0,0,2.301,0,-56.0,0.06371,0.46,34.1,0,21.518,3,34.1,388.37,0,0.0,2.43534907147005,0.1496996200065319,0.0632440906924913,1.1240357137628139,0.8025452521584422,26.65558835774737,21.253467366031956,0.0470511461860682,5664.221517672711,0.1765467676149211,1.1637661340582022,3.0
2014-06-06 22:00:30,-5.96475,3.7100400000000002,1,1,-5.472,0.0,0.341147,,5.73536,1,20.4,0,0.0,0,1.2467,0,95.3,0,0.0,0,2.926,0,-54.0,0.21454,0.48,34.1,0,21.516,3,34.1,390.17699999999996,0,0.0,2.3614939505665182,0.1457236210388877,0.0632136657401023,1.1258908017779012,137.8102494704909,0.1552302238926046,16.713680249227455,0.0598312271796765,5440.842181149189,0.1837950755977974,1.119899144493928,3.0
2014-06-06 23:00:00,-10.2245,8.41628,1,1,-9.334,0.0,0.323653,,5.73536,1,20.2,0,0.0,0,1.2077,0,95.3,0,0.0,0,3.259,0,-58.0,0.31419,0.49,34.1,0,21.515,3,34.1,389.36300000000006,0,0.0,2.3325047746520418,0.1441584249829249,0.0632015039540593,1.1266161685418992,252.5036427296476,0.0847208208513034,15.005900094887858,0.0666404543330709,2303.5093495766405,0.4341202262468737,1.0746847238321702,3.0
2014-06-06 23:00:30,-10.2245,8.427480000000001,1,1,0.0,0.0,0.315091,,5.73536,1,20.1,0,0.0,0,1.2003,0,95.3,0,0.0,0,3.202,0,-59.0,0.22336999999999999,0.49,34.1,0,21.516,3,34.1,390.779,0,0.0,2.3181272243389786,0.1433811754105083,0.0631954248157392,1.1270319870607557,90.73551247395453,0.2357656368132668,15.273025736801856,0.0654749109464539,2278.010522012887,0.4389795351412091,1.0637077884799762,3.0
2014-06-07 00:00:00,-15.1683,9.889489999999999,1,1,26.070999999999998,0.0,0.279487,,5.73536,1,19.7,0,0.0,0,1.102,0,95.3,0,0.0,0,2.577,0,-59.0,0.4034,0.52,34.1,0,21.538,3,34.1,391.754,0,0.0,2.261388994281898,0.1403075307509155,0.0631711199525951,1.1283913398136507,360.20217000696704,0.0593897473732216,18.977193794815488,0.0526948299528456,1701.7352701860361,0.5876354668788635,0.9309882835465088,3.0
2014-06-07 00:00:30,-15.1683,9.889489999999999,1,1,0.0,0.0,0.270858,,5.73536,1,19.6,0,0.0,0,1.0724,0,95.3,0,0.0,0,2.3209999999999997,0,-59.0,0.40216,0.53,34.1,0,21.835,3,34.1,393.213,0,0.0,2.247395668272496,0.13954789345524302,0.0631650466576573,1.1287084243462886,356.8691096991906,0.0599444314416337,21.070326759689586,0.0474601087778637,1615.6254526476541,0.6189553391605835,0.8835459171799599,3.0
2014-06-07 01:00:00,-15.1716,9.889489999999999,1,1,0.0,0.0,0.253155,,5.73536,1,19.4,0,0.0,0,1.0141,0,95.3,0,0.0,0,2.3819999999999997,0,-59.0,0.3623,0.55,34.1,0,21.835,3,34.1,393.668,0,0.0,2.219636046272752,0.1380390576207917,0.0631529035704412,1.1293464609298465,260.8383809844473,0.0820136814193595,20.530742405222306,0.0487074446828398,1522.6245010943871,0.6567607438874453,0.8320555554820558,3.0
2014-06-07 01:00:30,-15.1716,9.97643,1,1,0.0,0.0,0.226298,,5.73536,1,19.1,0,0.0,0,0.9953,0,95.3,0,0.0,0,2.224,0,-60.0,0.40864,0.55,34.1,0,21.835,3,34.1,395.548,0,0.0,2.178558991068772,0.1358017093970003,0.063134697691217,1.1306075544226764,374.3072384247039,0.0571517557876543,21.989311335089717,0.0454766402076557,1454.269251728025,0.6876305737825077,0.8005633261670061,3.0
